en_cue,en_target
passenger,driver
alcohol,drug
sober,drunk
goose,duck
ash,dust
rusty,dusty
responsibility,duty
gunpowder,dynamite
eye,ear
late,early
west,east
impossible,easy
feed,eat
health,education
influence,effect
useful,effective
nest,egg
campaign,election
magnetic,electric
current,electricity
fashionable,elegant
factor,element
urgent,emergency
mental,emotional
imperial,emperor
dynasty,empire
power,energy
tank,engine
exit,entrance
millionaire,entrepreneur
plague,epidemic
series,episode
equipment,equip
orgasm,erection
flee,escape
observation,evaluation
night,evening
phenomenon,event
finally,eventually
never,ever
underestimate,exaggerate
proud,excited
forgive,excuse
hanging,execution
practice,exercise
gallery,exhibition
wait,expect
burst,explode
earthquake,explosion
bomb,explosive
describe,express
internal,external
success,failure
hope,faith
loyal,faithful
fake,FALSE
clan,family
popular,famous
wonderful,fantastic
reality,fantasy
near,far
slow,fast
deadly,fatal
mother,father
mail,fax
horror,fear
colony,federation
impression,feeling
male,female
wall,fence
carnival,festival
cough,fever
combat,fight
champion,fighter
nasty,filthy
banking,financial
financially,financing
search,find
dna,fingerprint
end,finish
shark,fish
hunting,fishing
fire,flame
naval,fleet
landing,flight
grain,flour
plant,flower
liquid,fluid
land,fly
cloud,fog
basketball,football
strength,force
jungle,forest
eternal,forever
spoon,fork
two,four
third,fourth
conspiracy,fraud
freely,free
melt,freeze
english,french
colleague,friend
polite,friendly
relationship,friendship
scare,frighten
apple,fruit
gas,fuel
refugee,fugitive
empty,full
operational,functional
budget,funding
coffin,funeral
witty,funny
universe,galaxy
play,game
workshop,garage
trash,garbage
portal,gate
collect,gather
lesbian,gay
naturally,generally
compassionate,generous
soft,gentle
compliment,gift
boys,girls
offer,give
national,global
glorious,glory
enter,go
monkey,gorilla
administration,government
diploma,graduate
kilo,gram
grandfather,grandmother
hospitality,gratitude
excellent,great
roman,greek
congratulate,greet
gang,group
innocent,guilty
piano,guitar
rifle,gun
illusion,hallucination
sandwich,hamburger
stick,hammer
cloth,handkerchief
occur,happen
satisfied,happy
bay,harbor
tough,hard
balance,harmony
helmet,hat
base,headquarters
recover,heal
listen,hear
sky,heavenly
heavy,heavily
weight,height
ambulance,helicopter
paradise,hell
cocaine,heroin
cover,hide
low,high
majesty,highness
road,highway
aids,hiv
crack,hole
christmas,holiday
decent,honest
loyalty,honesty
privilege,honor
terrible,horrible
donkey,horse
pump,hose
kiss,hug
big,huge
man,human
thousand,hundred
tired,hungry
carbon,hydrogen
fool,idiot
meaning,importance
valuable,important
flatter,impress
penalty,imprisonment
change,improvement
profit,income
point,indicate
person,individual
virus,infection
report,inform
source,informant
data,information
heritage,inherit
dose,injection
wound,injury
spider,insect
outside,inside
examination,inspection
inspire,inspiration
tool,instrument
smart,intelligent
purpose,intention
accidentally,intentionally
exciting,interesting
personal,intimate
instinct,intuition
finance,invest
examine,investigate
analyst,investigator
banker,investor
irony,ironic
unreasonable,irresponsible
shirt,jacket
diamond,jewel
trick,joke
reporter,journalist
pleasure,joy
court,judge
milk,juice
romeo,juliet
june,july
climb,jump
senior,junior
revenge,justice
hold,keep
poison,kill
queen,king
royal,kingdom
shoulder,knee
recognize,knew
sword,knife
now,know
experience,knowledge
lord,lady
river,lake
tenant,landlord
first,last
smile,laugh
member,leader
seminar,lecture
right,left
illegal,legal
myth,legend
size,length
allow,let
telegram,letter
lie,liar
conservative,liberal
suck,lick
sergeant,lieutenant
darkness,light
probability,likely
taxi,limousine
ming,ling
dragon,lion
art,literature
kidney,liver
frog,lizard
credit,loan
tuna,lobster
regional,local
place,location
key,lock
alone,lonely
short,long
hate,love
nice,lovely
mistress,lover
snack,lunch
robot,machine
playboy,magazine
nanny,maid
preserve,maintain
service,maintenance
control,manipulate
compass,map
advertising,marketing
divorce,marriage
single,married
yoga,massage
tournament,match
physics,mathematics
minimum,maximum
ketchup,mayonnaise
sheriff,mayor
food,meal
pork,meat
technical,mechanical
trophy,medal
artifact,medallion
see,meet
conference,meeting
commercial,merchant
forgiveness,mercy
warning,message
iron,metal
kilometer,meter
camera,microphone
telescope,microscope
civil,military
ambassador,minister
embassy,ministry
plus,minus
second,minute
reflection,mirror
poverty,misery
unfortunate,misfortune
rocket,missile
task,mission
error,mistake
combination,mixture
humble,modest
temple,monastery
cash,money
screen,monitor
tomorrow,morning
aspirin,morphine
hotel,motel
hill,mountain
porn,movie
daddy,mum
suicide,murder
killer,murderer
nerve,muscle
library,museum
jazz,music
singer,musician
evolution,mutation
secret,mystery
nude,naked
country,nation
diarrhea,nausea
marine,navy
throat,neck
ring,necklace
necessary,need
positive,negative
grandson,nephew
worried,nervous
channel,news
article,newspaper
midnight,noon
healthy,normal
south,north
mouth,nose
atomic,nuclear
swear,oath
clearly,obviously
sea,ocean
september,october
insult,offend
desk,office
officially,official
sometimes,often
coal,oil
garlic,onion
enemy,opponent
choice,option
green,orange
planet,orbit
command,order
arrange,organize
result,outcome
property,owner
air,oxygen
envelope,package
suffering,pain
artist,painter
section,paragraph
supernatural,paranormal
adult,parent
matter,particle
reception,party
enthusiasm,passion
ticket,passport
code,password
future,past
route,path
miserable,pathetic
guard,patrol
paper,pen
vagina,penis
population,people
ideal,perfect
show,performance
lipstick,perfume
radius,perimeter
phase,period
character,personality
view,perspective
picture,photo
autograph,photographer
dictionary,phrase
sexual,physical
fragment,piece
cow,pig
tablet,pill
astronaut,pilot
preparation,planning
cement,plastic
bowl,plate
explanation,plausible
coach,player
comfortable,pleasant
text,poem
gambling,poker
critical,political
policy,politician
journalism,politics
status,position
chance,possibility
helpless,powerless
literally,practically
prey,predator
birth,pregnancy
ready,prepare
chancellor,president
button,press
pulse,pressure
value,price
monk,priest
secondary,primary
princess,prince
cell,prison
hostage,prisoner
private,privacy
nobel,prize
maybe,probably
capsule,probe
trouble,problem
process,procedure
create,produce
brand,product
factory,production
amateur,professional
dean,professor
project,program
forbidden,prohibit
guarantee,promise
evidence,proof
lawyer,prosecutor
rule,protocol
model,prototype
enable,provide
medical,psychological
anatomy,psychology
push,pull
insert,put
quantity,quality
half,quarter
slowly,quickly
fox,rabbit
squirrel,raccoon
marathon,race
contamination,radiation
anger,rage
kidnapper,ransom
occasionally,rarely
mouse,rat
generator,reactor
TRUE,real
optimistic,realistic
actually,really
front,rear
fair,reasonable
just,recently
record,recording
increase,reduce
fresh,refresh
philosophy,religion
stay,remain
exceptional,remarkable
forget,remember
eliminate,remove
hire,rent
fix,repair
answer,reply
career,reputation
demand,request
resistance,resist
pub,restaurant
back,return
bonus,reward
poor,rich
drive,ride
steal,rob
theft,robbery
dramatic,romantic
caesar,rome
chain,rope
turn,rotate
espionage,sabotage
security,safety
anchor,sail
pirate,sailor
soup,salad
pension,salary
auction,sale
ninja,samurai
mud,sand
radar,satellite
cream,sauce
rescue,save
hero,savior
gossip,scandal
tattoo,scar
calendar,schedule
class,school
technology,science
genius,scientist
safe,secure
choose,select
stubborn,selfish
buy,sell
parliament,senate
governor,senator
bring,send
delicate,sensitive
word,sentence
speech,sermon
slave,servant
refuge,shelter
crew,ship
boot,shoe
shot,shoot
ill,sick
form,sign
frequency,signal
stamp,signature
silent,silence
golden,silver
simply,simple
toilet,sink
drop,sip
stand,sit
bone,skull
rest,sleep
little,small
taste,smell
worm,snake
shooter,sniper
rain,snow
lemonade,soda
lunar,solar
nothing,something
elsewhere,somewhere
daughter,son
album,song
noise,sound
lasagna,spaghetti
talk,speak
expert,specialist
sensational,spectacular
distance,speed
waste,spend
soul,spirit
hobby,sport
celebrity,star
federal,state
comment,statement
platform,station
monument,statue
concrete,steel
already,still
rock,stone
prevent,stop
shop,store
wind,storm
oven,stove
unusual,strange
plan,strategy
banana,strawberry
avenue,street
hit,strike
nap,stroll
firmly,strongly
pyramid,structure
research,study
naïve,stupid
madness,stupidity
rhythm,style
object,subject
replace,substitute
manage,succeed
enough,sufficient
propose,suggest
briefcase,suitcase
moon,sun
saturday,sunday
layer,surface
operate,surgery
nickname,surname
live,survive
doubt,suspect
drown,swim
flag,symbol
symptom,syndrome
needle,syringe
network,system
potential,talent
learn,teach
student,teacher
league,team
method,technique
teenage,teenager
call,telephone
radio,television
say,tell
heat,temperature
golf,tennis
experiment,test
witness,testimony
grateful,thank
what,that
cinema,theater
idea,theory
here,there
thin,thick
consider,think
hunger,thirst
one,three
crown,throne
finger,thumb
lightning,thunder
bind,tie
detonator,timer
skin,tissue
name,title
potato,tomato
nail,tooth
hurricane,tornado
torment,torture
blanket,towel
doll,toy
modern,traditional
sad,tragic
spy,traitor
move,transfer
sensor,transmitter
therapy,treatment
bush,tree
hearing,trial
circle,triangle
double,triple
jeep,truck
monday,tuesday
bridge,tunnel
chicken,turkey
snail,turtle
disgusting,ugly
final,ultimate
inability,unable
realize,understand
suddenly,unexpectedly
injustice,unfair
badge,uniform
special,unique
college,university
anonymous,unknown
uncomfortable,unpleasant
down,up
lower,upper
blood,urine
apply,use
ordinary,usual
normally,usually
antidote,vaccine
desert,valley
zombie,vampire
trailer,van
cinnamon,vanilla
valve,ventilation
mars,venus
check,verify
extremely,very
dvd,video
camp,village
revelation,vision
protein,vitamin
whiskey,vodka
volunteer,voluntarily
majority,vote
candidate,voter
waiter,waitress
run,walk
pocket,wallet
soldier,warrior
clean,wash
look,watch
sherlock,watson
strong,weak
treasure,wealth
pistol,weapon
internet,web
engagement,wedding
month,week
daily,weekly
southern,western
dry,wet
horn,whistle
narrow,wide
husband,wife
gain,win
loser,winner
summer,winter
cable,wire
desire,wish
curse,witch
magic,wizard
bear,wolf
widow,woman
job,work
farmer,worker
international,world
concern,worry
useless,worthless
deserve,worthy
read,write
poet,writer
reading,writing
okay,yeah
red,yellow
today,yesterday
old,young
area,zone
