English,translation,back_translation
"Before your data are shared outside the research team, any potentially identifying information will be removed. The anonymous data may be used by the research team or shared with other researchers, for both related and unrelated research purposes in the future. Your anonymous data may also be made available in online data repositories such as the Open Science Framework (which are free data repositories that require registration to have access), which allow other researchers and interested parties to access the data for further analysis.","До того, як ваші дані будуть ділитися поза дослідницькою командою, будь-яка потенційно ідентифікаційна інформація буде видалена, анонімні дані можуть бути використані дослідницькою командою або ділитися з іншими дослідниками як для пов'язаних, так і не пов'язаних з ними цілей дослідження в майбутньому. ваші анонімні дані також можуть бути доступні в онлайн-репозиторіях даних, таких як Open Science Framework (які є безкоштовними репозиторіями даних, які вимагають реєстрації для доступу).","Before your data is shared outside the research team, any potentially identifiable information is removed, the anonymized data can be used by the research team or shared with other researchers for both related and unrelated research purposes in the future."
Begin,Почніть.,Let's get to it.
Break,Перерва,The break.
"By 'learning a word', we mean the age at which you would have understood the word if somebody had used it in front of you, <strong>EVEN IF YOU DID NOT</strong> use, read, or write it at the time.","""Наприклад, """"вчитись слова"""" означає вік, коли ви зрозуміли б це слово, якби хтось використовував його перед вами, навіть якщо ви не використовували, не читали або не писали його в той час.""","For example, ""learn a word"" means the age at which you would understand the word if someone had used it before you, even if you hadn't used, read, or written it at the time."
Close,Закрийте,Close it
Compensation:,Компенсація:,Compensation for:
Concreteness ratings,Рейтинги конкретності,Ratings of specificity
Concreteness Study,Дослідження конкретності,The study of specificity
Confidentiality and Data Sharing:,Конфіденційність та обмін даними:,Confidentiality and data exchange:
CONSENT FORM,Форма згоди,Form of consent
Contacts and Questions:,Контакти та питання:,Contacts and questions:
Continue →,Продовжуйте →,Keep going.
Correct!,Правильно!,That's right!
Demographic Information,Демографічна інформація,The demographic information
Do you consent to participate?,Ви погоджуєтеся брати участь?,Do you agree to participate?
Doctoral degree or equivalent,Докторська ступінь або еквівалент,Doctoral degree or equivalent
Emotion ratings,Рейтинги емоцій,Emotional ratings
Enter a whole number from 1 to 100.,Введіть ціле число від 1 до 100.,Enter an integer from 1 to 100.
"Enter an age or if you do not know the word, please select the letter X for unknown.","Введіть вік або, якщо ви не знаєте слова, будь ласка, виберіть букву X для невідомого.","Enter age or, if you don't know the word, please select the letter X for unknown."
Familiarity ratings,Рейтинги знайомості,Famous ratings
Familiarity Study,Дослідження знайомості,The study of familiarity
Female,Жінка,A woman
Finish,Завершити,Finish
"For each word, enter the age (in years) when you think you learned it. An approximate age is good enough for this rating. If you do not know the word, please select the letter X for unknown.","Для кожного слова введіть вік (в роках), коли ви думаєте, що вивчили його, приблизной вік достатньо для цього рейтингу, якщо ви не знаєте слова, будь ласка, виберіть букву X для невідомого.","For each word, enter the age (in years) when you think you have learned it, the approximate age is enough for this ranking, if you do not know the word, please select the letter X for the unknown."
"Great job! Remember you should use the <kbd>${ window.word_key }</kbd> key for real word, and the <kbd>${ window.nonword_key } </kbd> for fake word.","Пам'ятайте, що ви повинні використовувати клавішу <kbd>${window.word_key } для справжнього слова, а клавішу <kbd>${window.nonword_key } для фальшивого слова.",Remember that you should use the <kbd>${window.word_key} key for the real word and the <kbd>${window.nonword_key} key for the fake word.
High school diploma,Диплом середньої школи,High school diploma
How to do this task,Як виконати це завдання,How to accomplish this task
I Consent,Я згоден.,I agree.
I Do Not Consent,Я не згоден.,I don't agree with that.
"If you do not know the word, please select the letter X for unknown.","Якщо ви не знаєте слова, будь ласка, виберіть букву X для невідомого.","If you don't know the word, please select the letter X for unknown."
"If you recognize the word on the screen like <b>COLD</b>, please press the <kbd>${ window.word_key }</kbd> key for real word. If the word is made-up nonsense, like <b>WERM</b>, please press <kbd>${ window.nonword_key }</kbd> for fake word. During practice, we will give you feedback.","Якщо ви впізнаєте слово на екрані, наприклад, <b>COLD<b>, будь ласка, натисніть клавішу <kb>${window.word_key}<kb> для справжнього слова. Якщо слово вигадане, наприклад, <b>WERM<b>, будь ласка, натисніть клавішу <kb>$<b><kb> для фальшивого слова.","If you recognize a word on the screen, such as <b>COLD<b>, please press the <kb>${window.word_key}<kb> key for the real word. If the word is made up, such as <b>WERM<b>, please press the <kb>$<b><kb> key for the fake word."
Imageability Study,Дослідження зображуваності,The study of imagery
Imagination ratings,Рейтинги уяви,The ratings of the imagination
Important: You must click Finish to submit your responses and receive credit or payment.,"Важливо: Ви повинні натиснути ""Закінчити"", щоб відправити свої відповіді та отримати кредит або плату.","Important: You must click ""Finish"" to submit your answers and receive credit or payment."
"In the following pages, you will see a series of target words. Your task is to rate how familiar or known each word is to you. If a word feels very familiar or well known, select 9 on the scale; if it feels hardly familiar or unknown, select 1. The numbers from 1 to 9 represent increasing levels of familiarity.","На наступних сторінках ви побачите ряд цільових слів: ваше завдання - оцінити, наскільки знайоме або відоме вам кожне слово; якщо слово здається дуже знайомим або добре відомим, виберіть 9 на шкалі; якщо воно здається мало знайомим або невідомим, виберіть 1.","In the following pages, you'll see a series of target words: your task is to rate how familiar or familiar each word is to you; if the word seems very familiar or well-known, pick a 9 on the scale; if it seems unfamiliar or unfamiliar, pick a 1."
"In this scale, 9 represents 'easy to imagine,' there is no issue picturing intricate details of the word; while 1 represents 'difficult to image,' that is, the word is more abstract and harder to picture.","У цій шкалі 9 означає ""легко уявити"", не існує жодних проблем, що зображують складні деталі слова, а 1 означає ""складне зображення"", тобто слово є більш абстрактним і важким для зображення.","In this scale, 9 means ""easy to imagine,"" there are no problems depicting complex details of a word, and 1 means ""complex image,"" that is, the word is more abstract and difficult to depict."
"In this study, you will be asked to complete different questions about word concepts. For example, you may be asked to define a word's characteristics, rate how familiar you are with a word, or simply judge if a string of letters is a real word.","У цьому дослідженні вас попросять задовольнити різні питання про поняття слів: наприклад, вас попросять визначити характеристики слова, оцінити, наскільки ви знайомі з цим словом, або просто визначити, чи є ряд букв справжнім словом.","In this test, you will be asked to answer a variety of questions about the meaning of words, such as defining the characteristics of a word, assessing how familiar you are with the word, or simply determining whether a string of letters is a real word."
Incorrect!,Неправильно!,That's wrong!
Instructions,Інструкції,Instructions to be followed
Left-handed,Ліворукий,Left-handed
Less than high school diploma,"Менше, ніж диплом середньої школи",Less than a high school diploma
Male,Чоловік,The man.
Master's degree or equivalent,Ступінь магістра або еквівалент,Master's degree or equivalent
"Measures are taken to ensure that all information you provide will be anonymous. The data from this project will be posted publicly for other researchers to use; however, no data will be directly linked to you. Your name or other identifying information will not be entered into the dataset and no references will be made in verbal or written reports that could link you to the study. In any publication, information will be provided in such a way that you cannot be identified.","Ми вживаємо заходів, щоб гарантувати, що вся інформація, яку ви надаєте, буде анонімною; дані з цього проекту будуть публічно розміщені для використання іншими дослідниками; однак, жодна інформація не буде безпосередньо пов'язана з вами; ваше ім'я або інша ідентифікаційна інформація не буде внесена в набір даних; і ніяких посилань не буде зроблено в усних або письмових звітах, які могли б пов'язати вас з дослідженням.","We take steps to ensure that all information you provide is anonymous; data from this project will be made public for use by other researchers; however, no information will be directly linked to you; your name or other identifiable information will not be entered into the dataset; and no references will be made in oral or written reports that could link you to the study."
Next,Наступний,The next one.
"No identifying information will be collected from you, and therefore, your responses should be anonymous. The current study is similar to an online game, which may cause some fatigue or boredom based on the task you are asked to complete.","Ніякі ідентифікаційні дані не будуть зібрані від вас, і тому ваші відповіді повинні бути анонімними.Текуче дослідження схоже на онлайн-ігру, яка може викликати деяку втому або нудьгу в залежності від завдання, яке вам запропоновано виконати.","No personal information will be collected from you, so your responses must be anonymous.Current research is like an online game that can cause some fatigue or boredom depending on the task you are asked to complete."
Other,Інше,Other
Participation in this study is voluntary:,Участь у цьому дослідженні є добровільною:,Participation in this study is voluntary:
Please answer faster!,"Будь ласка, відповідіть швидше!",Please answer quickly!
Please keep or copy this number if you are asked for it.,"Будь ласка, збережіть або скопіюйте цей номер, якщо вас про це попросять.",Please save or copy this number if you are asked to do so.
"Please note that your data will be anonymous, which means you cannot ask for it to be removed once you have completed the study.","Будь ласка, зверніть увагу, що ваші дані будуть анонімними, що означає, що ви не можете попросити видалити їх після завершення дослідження.","Please note that your data will be anonymous, meaning you cannot ask for it to be deleted after the study is completed."
Please press <kbd>Space</kbd> to consent to the study and continue.,"Будь ласка, натисніть <kbd>Space<unk>, щоб погодитися на дослідження і продовжити.",Please click <kbd>Space<unk> to agree to the study and continue.
"Please press ${ window.word_key } if the above is a real word, and ${ window.nonword_key } if it is a fake word.","Будь ласка, натисніть клавішу window.word_key, якщо вище наведене є справжнім словом, і клавішу window.nonword_key, якщо це фальшиве слово.","Please press the window.word_key if the above is a real word, and the window.nonword_key if it is a fake word."
Please press the <kbd>Space Bar</kbd> to continue or wait until this page disappears.,"Будь ласка, натисніть <kbd>Space Bar<unk>, щоб продовжити або почекати, поки ця сторінка не зникне.",Please click <kbd>Space Bar to continue or wait until this page disappears.
Please press the <kbd>Space Bar</kbd> to continue.,"Будь ласка, натисніть <kbd>Space Bar<unk>, щоб продовжити.",Please press the Space Bar to continue.
Please press the <kbd>Space Bar</kbd> to try a few for practice.,"Будь ласка, натисніть <unk>Space Bar<unk>, щоб спробувати кілька для практики.",Please click the Space Bar to try a few for practice.
Please rate the following words by entering the age in years at which you think you learned the word. An approximate age is good enough for this rating.,"Будь ласка, оцініть наступні слова, введіть вік у роках, в яких ви думаєте, що ви навчилися слова.","Please rate the following words, enter the age in years in which you think you have learned the words."
Please select a rating or mark unknown.,"Будь ласка, виберіть оцінку або позначте невідому.",Please select an evaluation or mark the unknown.
Please select a rating.,"Будь ласка, виберіть рейтинг.",Please select a rating.
Please tell us a little bit about yourself.,"Будь ласка, розкажіть нам трохи про себе.",Please tell us a little bit about yourself.
Please tell us your gender:,"Будь ласка, скажіть нам вашу стать:",Please tell us your article:
Please tell us your highest education level:,"Будь ласка, скажіть нам ваш найвищий рівень освіти:",Please tell us your highest level of education:
"Please work at a rapid place and don't spend too much time thinking about each word. Rather, make your ratings based on your first and immediate reaction as you read each word. If you do not know the word, please select the letter X.","Будь ласка, працюйте швидко і не витрачайте занадто багато часу на роздуми над кожним словом, а скоріше зробіть свої оцінки на основі вашої першої та негайної реакції, коли ви читаєте кожне слово, якщо ви не знаєте слова, будь ласка, виберіть букву X.","Please work quickly and don't spend too much time thinking about each word, but rather make your judgments based on your first and immediate reaction when you read each word."
Prefer not to say,Я не хочу говорити.,I don't want to talk.
Procedures:,Процедури:,The procedures:
Questions or Concerns:,Питання або занепокоєння:,Questions or concerns:
"Rating (1 = very abstract, 9 = very concrete) or X (Don't know the word)","Оцінка (1 = дуже абстрактна, 9 = дуже конкретна) або X (не знаю слова)","The first one is ""very abstract"" and the second one is ""very specific"" and I don't know the word."
"Rating (1 = very calm/relaxed, 9 = very excited/activated) or X (Don't know the word)","Оцінка (1 = дуже спокійний, розслаблений, 9 = дуже збуджений, активований) або X (не знаю слова)","The first one is ""very calm"" and the second one is ""very excited"" and the third one is ""I don't know the word."""
"Rating (1 = very difficult to imagine, 9 = very easy to imagine) or X (Don't know the word)","Оцінка (1 = дуже важко уявити, 9 = дуже легко уявити) або X (Не знаю слова)","The first one is ""very hard to imagine"" and the second one is ""very easy to imagine"" and the third one is ""I don't know the words."""
"Rating (1 = very unfamiliar/unknown, 9 = very familiar/known)","Оцінка (1 = дуже незнайоме, 9 = дуже знайоме)","The score is 1 = very unfamiliar, 9 = very familiar."
"Rating (1 = very unpleasant/unhappy, 9 = very pleasant/happy) or X (Don't know the word)","Оцінка (1 = дуже неприємна, 9 = дуже приємна, 9 = дуже приємна) або X (не знаю слова)","The first one is ""very unpleasant,"" the second one is ""very pleasant,"" and the third one is ""very unpleasant."""
"Remember you should use the <kbd>${ window.word_key }</kbd> key for real word, and the <kbd>${ window.nonword_key } </kbd> for fake word.","Пам'ятайте, що ви повинні використовувати ключ <kbd> для справжнього слова, а ключ <kbd> для фальшивого слова.",Remember that you should use the <kbd> key for the real word and the <kbd> key for the fake word.
Right-handed,Правий.,The right one.
Risks and Benefits of being in the Study:,Ризики та переваги участі в дослідженні:,Risks and benefits of participating in the study:
Self-Assessment Manikin (SAM) scale for arousal,Шкала самооцінки манекена (SAM) для збудження,The self-assessment scale (SAM) is used to measure arousal.
Self-Assessment Manikin (SAM) scale for valence,Шкала самооцінки манекена (SAM) для валентності,The self-assessment scale (SAMS) is used to measure
"Some words refer to things or actions in reality, which you can experience directly through one of the five senses. We call these words concrete words. Other words refer to meanings that cannot be experienced directly but which we know because the meanings can be defined by other words. These are abstract words. Still other words fall in-between the two extremes, because we can experience them to some extent; and in addition, we rely on language to understand them. We want you to indicate how concrete the meaning of each word is for you by using a 9-point rating scale going from abstract to concrete. A concrete word comes with a higher rating and refers to something that exists in reality; you can have immediate experience of it through your senses (smelling, tasting, touching, hearing, seeing) and the actions you do.","""Деякі слова стосуються речей або дій у реальності, які ви можете відчути безпосередньо через один з п'яти почуттів.Ми називаємо ці слова """"конкретними словами"""" інші слова стосуються значень, які не можуть бути відчуті безпосередньо, але які ми знаємо, тому що значення можуть бути визначені іншими словами.Це абстрактні слова, інші слова знаходяться між двома крайніми, тому що ми можемо відчути їх у певній мірі, і крім того, ми покладаємося на мову, щоб зрозуміти їх.Ми хочемо, щоб ви вказували, наскільки конкретним є для вас значення кожного слова, використовуючи 9-точкову оцінку, що переходить від абстрактного до конкретного.""","Some words are related to things or actions in reality that you can feel directly through one of the five senses, we call them concrete words, others are related to meanings that cannot be directly felt but that we know because they can be defined by other words, these are abstract words, others are between the two extremes because we can feel them to some extent, and we rely on language to understand them."
Take a short break.,Зробіть коротку перерву.,Take a short break.
Thank you,Дякую.,Thank you. Thank you.
Thank you for participating,Дякую за участь.,Thank you for participating.
"The easiest way to explain a word is by pointing to it or by demonstrating it (e.g., To explain 'sweet' you could have someone eat sugar; To explain 'jump' you could simply jump up and down or show people a movie clip about someone jumping up and down; To explain 'couch', you could point to a couch or show a picture of a couch). An abstract word comes with a lower rating and refers to something you cannot experience directly through your senses or actions. Its meaning depends on language. The easiest way to explain it is by using other words (e.g., There is no simple way to demonstrate 'justice'; but we can explain the meaning of the word by using other words that capture parts of its meaning).","Найпростіший спосіб пояснити слово - це вказувати на нього або продемонструвати його (наприклад, щоб пояснити ""солодкий"" можна попросити когось з'їсти цукор; щоб пояснити ""скакати"" можна просто стрибати вгору і вниз або показати людям кліп фільму про когось, що стрибає вгору і вниз; щоб пояснити ""софа"" можна вказувати на софу або показати фотографію софи); абстрактне слово має нижчий рейтинг і відноситься до чогось, що ви не можете відчути безпосередньо через ваші почуття або дії; його значення залежить від мови.","The easiest way to explain a word is to point to it or show it (e.g., to explain ""sweet"" you can ask someone to eat sugar; to explain ""jump"" you can just jump up and down or show people a movie clip of someone jumping up and down; to explain ""sofa"" you can point to a sofa or show a photo of a sofa); an abstract word has a lower rating and refers to something you can't feel directly through your language or actions."
"The researchers conducting this study are Dr. Erin M. Buchanan in partnership with the Psychological Science Accelerator. You may ask any questions you have now. If you have questions later, you are encouraged to contact Dr. Erin M. Buchanan at semanticpriming@harrisburgu.edu.","""Дослідники, які проводять це дослідження, - доктор Ерин М. Б'юкенен, у партнерстві з """"Психологічним науковим прискорювачем,"""" - можуть задавати будь-які питання, які у вас є зараз, і якщо у вас виникнуть питання пізніше, рекомендуємо звернутися до доктора Ерин М. Б'юкенен на адресу semanticpriming@harrisburg.""","The researchers who are conducting this study, Dr. Erin M. Buchanan, in partnership with the Psychological Science Accelerator, are welcome to ask any questions you have now, and if you have any questions later, we recommend that you contact Dr. Erin M. Buchanan at semanticpriming@harrisburg."
"The study being conducted today is investigating emotion, and how people respond to different types of words.","Дослідження, яке проводиться сьогодні, досліджує емоції та те, як люди реагують на різні типи слів.",Research is being done to understand emotions and how people react to different types of words.
The words will be presented in the middle of the screen. You should ask yourself if the word on the screen is a real word or a fake word.,"Слова будуть представлені посеред екрану, і ви повинні запитати себе, чи є слово на екрані справжнім, чи фальшивим.","The words will be displayed in the middle of the screen, and you should ask yourself if the word on the screen is real or fake."
"There is no direct benefit to you for participating in this study. However, your responses will contribute to our understanding of language and cognitive memory processes.","Участь у цьому дослідженні не приносить вам ніякої безпосередньої користі, однак ваші відповіді будуть сприяти нашому розумінню мови та когнітивних процесів пам'яті.","While you will not benefit directly from this study, your responses will contribute to our understanding of language and cognitive memory."
This experiment is concerned with how people process words. You will be asked to view words and judge them.,"Цей експеримент стосується того, як люди обробляють слова.",This experiment is about how people process words.
"This is an experiment to find out how easy or difficult it is to imagine a mental picture of the word presented to you. You will be given a list of words, and you are to rate each one from how easy it is to picture the word (apple; high imagery) to words that may not be imagined easily (fact; low imagery).","Це експеримент, щоб з'ясувати, наскільки легко або важко уявити собі в голові зображення слова, яке вам подано. Вам буде надано список слів, і ви повинні оцінити кожен з них від того, наскільки легко уявити слово (яблуко, високий образ) до слів, які не можуть бути легко уявлені (факт, низький образ).","The test is to see how easy or difficult it is to visualize a word, and then to rate the words from how easy they are to visualize to how difficult they are to visualize."
This study has been reviewed by Harrisburg University of Science and Technology's Institutional Review Board (IRB).  The IRB has determined that this study fulfills the human research subject protections obligations required by state and federal law and University policies.,"""Це дослідження було переглянуто Інституційною комісією з перегляду (IRB) Університету науки та технологій Харрісбурга, яка визначила, що це дослідження відповідає обов'язкам захисту суб'єктів досліджень, необхідним за державним та федеральним законом та політикою університету.""""""","""This study was reviewed by the Institutional Review Board (IRB) of Harrisburg University of Science and Technology, which determined that this study meets the research subject protection obligations required by state and federal law and university policy."""""""
"This study is being conducted by Dr. Erin M. Buchanan, Professor of Cognitive Analytics at Harrisburg University of Science and Technology.","Дослідження проводиться доктором Еріном Б'юкененом, професором когнітивного аналізу в Університеті науки та технологій Харрісбурга.","The study was conducted by Dr. Erin Buchanan, a professor of cognitive analysis at Harrisburg University of Science and Technology."
Understanding Word Processing and Meaning,Розуміння обробки слів і значення,Understanding word processing and meaning
Unknown,Невідоме,Unknown
Valence Study,Дослідження валентності,Valence research
Voluntary Nature of the Study:,Добровольний характер дослідження:,The voluntary nature of the study:
"We call this set of figures SAM, and you will be using these figures to rate how you feel while reading each word. The picture shows the unhappy-happy scale, which ranges from a frown to a smile. At one extreme of this scale, you feel completely unhappy, annoyed, unsatisfied, melancholic, despaired, or bored. You can indicate feeling completely unhappy by selecting the 1 on the left. The other end of the scale, you feel happy, pleased, satisfied, contented, or hopeful. When you feel completely happy you should indicate this by selecting the 9 on the right. The figures also allow you to describe intermediate feelings of pleasure, by selecting any values in the middle. If you feel completely neutral, neither happy nor sad, select the 4 in the middle.","""Наприклад, коли ви читаєте """"Сам,"""" ви можете оцінити, як ви себе почуваєте під час читання кожного слова, а на другому кінці - як ви себе почуваєте: щасливим, задоволеним, задоволеним, задоволеним або надійним. """"Коли ви почуваєте себе щасливим, ви повинні показати це, вибравши 9 в правому куті. """"Сам"""" також дозволяє описати проміжні почуття задоволення, вибравши будь-які значення в центрі. """"Не почувайтеся щасливими або сумними,"""" - вибирає 4 в центрі.""","If you're reading this, you'll notice that the ""I"" at the end of each line is a combination of ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy,"" ""I'm happy."""
"We call this set of figures SAM, and you will be using these figures to rate how you felt while reading each word. SAM shows different kinds of feelings: calm versus excited.","""Ми називаємо цей набір цифр """"Сам,"""" і ви будете використовувати ці цифри, щоб оцінити, як ви відчували себе під час читання кожного слова. """"Сам"""" показує різні види почуттів: спокій проти хвилювання.""","We call this set of numbers ""Self,"" and you'll use these numbers to evaluate how you felt when you read each word."
We'd like to ask to to respond as quickly as you can while remaining accurate. You have three seconds to respond to every word.,"Ми просимо вас відповісти якомога швидше, залишаючись точними, у вас є три секунди, щоб відповісти на кожне слово.","Please answer as quickly as possible, and you have 3 seconds to answer each question."
What is your native (first) language?,Яка твоя рідна (перша) мова?,What is your mother tongue?
Which year were you born? Please enter a four-digit year:,"У якому році ви народилися? Будь ласка, введіть чотиризначний рік:",What year were you born? Please enter a four-digit year:
"You are invited to be in a research study about how you read and process words, along with their meaning. We ask that you read this form and ask any questions you may have before agreeing to be in the study.","Ми запрошуємо вас взяти участь у дослідженні про те, як ви читаєте і обробляєте слова разом з їх значенням.Ми просимо вас прочитати цю форму і задати будь-які питання, які у вас можуть виникнути, перш ніж погодитися на участь у дослідженні.",We invite you to take part in a study on how you read and process words and their meanings.We ask that you read this form and ask any questions you may have before agreeing to take part in the study.
You have chosen not to participate.,Ви вирішили не брати участь.,You decided not to participate.
You have completed the word ratings.,Ви завершили оцінку слів.,You've completed the word evaluation.
You may be compensated when taking part in this study through your local researcher.,Ви можете отримати компенсацію за участь у цьому дослідженні через вашого місцевого дослідника.,You can get compensation for participating in this study through your local researcher.
You may now close the window.,Тепер ви можете закрити вікно.,Now you can close the window.
"You will now complete the real task, remember to go as quickly as possible while getting the correct answer. You will not see any feedback during this section.","Тепер ви завершите справжнє завдання, пам'ятайте про те, щоб піти якнайшвидше, отримуючи правильну відповідь.","Now that you've completed the real task, remember to go as fast as you can, getting the right answer."
"You will take this study entirely online from a desktop or laptop computer with a keyboard. You will be given instructions about the experiment sections which are randomly selected for each person. After you complete the experiment, you can learn more about the study and goals of the research. The entire study should take less than thirty minutes to complete.","Ви будете брати це дослідження повністю онлайн з настільного або ноутбукового комп'ютера з клавіатурою, вам будуть дані інструкції про розділи експерименту, які випадково вибрані для кожної людини, і після завершення експерименту ви зможете дізнатися більше про дослідження та цілі дослідження.","You will take the study entirely online from your desktop or laptop computer with a keyboard, you will be given instructions on the sections of the study that are randomly selected for each person, and after the study is completed, you will be able to learn more about the study and its goals."
You've now completed the experiment.,Ви закінчили експеримент.,You've finished the experiment.
"Your decision whether to participate will not affect your current or future relations with Harrisburg University of Science and Technology or your local institution. If you decide to participate, you are free to not answer any question or withdraw at any time without affecting those relationships.","Ваше рішення про участь не вплине на ваші поточні або майбутні відносини з Університетом науки та технології Харрісбурга або місцевою установою; якщо ви вирішите взяти участь, ви можете не відповідати на будь-яке питання або вийти в будь-який час, не впливаючи на ці відносини.","Your decision to participate will not affect your current or future relationship with Harrisburg University of Science and Technology or your local institution; if you choose to participate, you may not answer any questions or leave at any time without affecting that relationship."
Your participant number is:,Ваш номер учасника:,Your participant number:
Your random participant id is:,Ваш ід випадкового учасника:,Your and the random participant:
You can use this number to give to your experimenter to show you completed the experiment.,"Ви можете використовувати цей номер, щоб показати своєму експериментатору, що ви завершили експеримент.",You can use this number to show your experimenter that you have completed the experiment.
