word_english,semantic_category,letters_N,frequency_CELEX,valence_M
exhausted,StimExp,9,96,-1.6
exhilarated,StimExp,11,230,1.6
fancied,ExpStim,7,86,0.9
fascinated,StimExp,10,0,1.6
favoured,ExpStim,8,995,1.3
fazed,StimExp,5,242,-0.4
feared,ExpStim,6,106,-2.1
fed,AgP,3,283,1.1
filmed,AgP,6,5,0.7
flabbergasted,StimExp,13,4,-0.3
flattered,StimExp,9,0,1.7
floored,AgP,7,3,0
followed,AgP,8,129,0
fooled,AgP,6,17,0.5
forgave,AgEvo,7,43,-0.3
forgot,ExpStim,6,348,-0.8
fought,AgP,6,554,-1.9
freed,AgP,5,38,1.6
frightened,StimExp,10,547,-1.9
frustrated,StimExp,10,0,-1.8
galled,StimExp,6,126,-0.9
gladdened,StimExp,9,28,1.6
grabbed,AgP,7,160,-1.5
grazed,AgP,6,0,-1.1
greeted,AgP,7,68,1.3
grieved,StimExp,7,6,-2.6
guided,AgP,6,475,1.3
hailed,AgEvo,6,66,0.2
harassed,StimExp,8,36,-2.4
harmed,AgP,6,82,-2
hated,ExpStim,5,263,-2.6
haunted,StimExp,7,23,-2.1
helped,AgP,6,278,1.3
hired,AgP,5,96,-0.2
hit,AgP,3,164,-1.8
honoured,AgEvo,8,596,1.6
hugged,AgP,6,9,2.1
hurt,StimExp,4,1,-1.9
idolized,ExpStim,8,2,0.9
incensed,StimExp,8,5,-1.1
infuriated,StimExp,10,1,-2.5
inspired,StimExp,8,6,1.5
instructed,AgP,10,14,0.3
insulted,StimExp,8,20,-1.9
interrupted,AgP,11,38,-1.6
intimidated,StimExp,11,320,-1.8
intrigued,StimExp,9,17,1.5
invigorated,StimExp,11,842,1.7
irritated,StimExp,9,5,-2.1
jollified,StimExp,9,0,1.1
jolted,StimExp,6,10,-0.9
killed,AgP,6,984,-2.8
kissed,AgP,6,1,1.9
lauded,AgEvo,6,0,-0.5
laughed at,AgP,7,0,-0.8
led,AgP,3,490,0.3
left,AgP,4,175,-1.5
lied to,AgP,4,133,-2.5
liked,ExpStim,5,0,1.7
loathed,ExpStim,7,9,-2.8
loved,ExpStim,5,284,2.5
maddened,StimExp,8,2,-1.8
married,AgP,7,195,2.4
mesmerised,StimExp,10,8,1.3
met,AgP,3,530,0.8
missed,ExpStim,6,83,-2
mocked,AgEvo,6,3,-2.2
mollified,StimExp,9,2,-0.2
mourned,ExpStim,7,10,-2.7
moved,StimExp,5,628,0.3
nettled,StimExp,7,26,-1.8
noticed,ExpStim,7,844,0.6
nuzzled,AgP,7,28,1.5
ordered around,AgP,7,1,-2.3
pacified,StimExp,8,4,0.2
pained,StimExp,6,6,-2.5
pardoned,AgEvo,8,104,0.1
passed,AgP,6,357,1.3
peeved,StimExp,6,931,-1.3
penalized,AgEvo,9,3,-2
persecuted,AgEvo,10,4,-2.7
petted,AgP,6,230,1.4
picked up,AgP,6,0,0.5
pitied,ExpStim,6,512,-1.6
placated,AgP,8,8,0.5
plagued,StimExp,7,9,-2.7
played,AgP,6,0,0.9
played with,AgP,6,0,1.3
pleased,StimExp,7,0,1.7
praised,AgEvo,7,226,1.8
prized,ExpStim,6,330,1.4
prosecuted,AgEvo,10,15,-2.6
protected,AgP,9,212,1.7
provoked,AgP,8,35,-1.4
punished,AgEvo,8,38,-2.1
pursued,AgP,7,19,0.1
questioned,AgP,10,35,-0.1
reassured,StimExp,9,27,1.6
rebuked,AgEvo,7,45,-1.9
recompensed,AgEvo,11,0,0.5
relaxed,StimExp,7,104,2.1
relished,ExpStim,8,99,1
remunerated,AgP,11,0,0.2
repaid,AgP,6,25,0.3
repelled,StimExp,8,7,-1.8
reprimanded,AgEvo,11,12,-1.6
reproached,AgEvo,10,1,-1.2
reproved,AgEvo,8,61,-0.4
repulsed,StimExp,8,34,-2.9
resented,ExpStim,8,41,-2.1
respected,ExpStim,9,54,1.8
revered,ExpStim,7,5,-0.3
reviled,AgEvo,7,23,-1.7
revitalized,StimExp,11,3,2.3
revolted,StimExp,8,26,-1.6
rewarded,AgEvo,8,235,2.5
ridiculed,AgEvo,9,61,-2.6
rushed to,AgP,6,243,-0.6
saluted,AgEvo,7,92,1.6
scared,StimExp,6,0,-2
scolded,AgEvo,7,2,-1.9
scorned,AgEvo,7,103,-2
shadowed,AgP,8,0,-0.7
shamed,AgP,6,1,-2
shocked,StimExp,7,5,-1.1
shook,StimExp,5,34,-0.4
sickened,StimExp,8,211,-2.4
slandered,AgEvo,9,62,-2.6
snubbed,AgEvo,7,4,-2.3
spanked,AgP,7,6,-1.6
spooked,StimExp,7,2,-1.3
staggered,StimExp,9,65,-1
stared at,AgP,6,106,-0.4
startled,StimExp,8,62,-1
stimulated,StimExp,10,26,1.1
struck,AgP,6,202,-1.5
sued,AgEvo,4,38,-1.9
supported,AgEvo,9,145,1.9
surprised,StimExp,9,29,0.7
tailed,AgP,6,1,-0.2
tantalized,StimExp,10,0,0.2
telephoned,AgP,10,48,0.2
thanked,AgEvo,7,37,2.3
toasted,ExpStim,7,16,1.3
tolerated,ExpStim,9,9,-1.1
took away,AgP,4,0,-1.5
tormented,StimExp,9,2,-2.7
tracked,AgP,7,334,-0.3
trailed,AgP,7,3,-0.3
treasured,ExpStim,9,154,2.3
troubled,StimExp,8,534,-1.6
trusted,ExpStim,7,53,2.1
unnerved,StimExp,8,14,-0.8
unsettled,StimExp,9,6,-1.7
uplifted,StimExp,8,2,2.2
upset,StimExp,5,2,-2.1
valued,ExpStim,6,31,1.7
venerated,ExpStim,9,2,-0.6
vexed,StimExp,5,0,-1.5
victimized,AgEvo,10,55,-2.6
vilified,AgEvo,8,8,-0.9
visited,AgP,7,132,0.7
wanted,ExpStim,6,0,0.6
warned,AgP,6,51,-0.7
wearied,StimExp,7,2,-1.3
welcomed,AgEvo,8,88,1.2
worried,StimExp,7,4,-1.8
worried about,ExpStim,7,51,-1.9
worshipped,ExpStim,10,216,1.2
wounded,StimExp,7,395,-2.2
wowed,StimExp,5,24,1.8
yearned for,ExpStim,7,31,-1.1
yelled at,AgP,6,25,-2.2
