target_word_unique,word_combo_related,cue_word_related,word_combo_unrelated,cue_word_unrelated
боротися,бойовийборотися,бойовий,стандартнийборотися,стандартний
борошно,зерноборошно,зерно,національнийборошно,національний
бос,керівникбос,керівник,критичнийбос,критичний
бостон,вашингтонбостон,вашингтон,створюватибостон,створювати
брат,чувакбрат,чувак,замінитибрат,замінити
брат.1,сестрабрат,сестра,нормальнобрат,нормально
брехун,лежатибрехун,лежати,прибуттябрехун,прибуття
броня,щитброня,щит,терміновийброня,терміновий
брудний,неприємнийбрудний,неприємний,частотабрудний,частота
будівля,баштабудівля,башта,теплийбудівля,теплий
будувати,будівельнийбудувати,будівельний,камерубудувати,камеру
буква,телеграмабуква,телеграма,ідеальнийбуква,ідеальний
в'язниця,клітинав'язниця,клітина,фатумв'язниця,фатум
вагітність,народженнявагітність,народження,чистийвагітність,чистий
важливий,ціннийважливий,цінний,числоважливий,число
важливість,сенсважливість,сенс,каративажливість,карати
вакцина,антидотвакцина,антидот,важкийвакцина,важкий
валіза,портфельваліза,портфель,інцидентваліза,інцидент
вампір,зомбівампір,зомбі,враженнявампір,враження
фургон,причіпфургон,причіп,південнийфургон,південний
ваніль,корицяваніль,кориця,дідусьваніль,дідусь
ванна кімната,душванна кімната,душ,смішнийванна кімната,смішний
вантаж,навантаженнявантаж,навантаження,галузьвантаж,галузь
вантажівка,джипвантажівка,джип,потенціалвантажівка,потенціал
ватсон,шерлокватсон,шерлок,тепловатсон,тепло
вбивство,самогубствовбивство,самогубство,круглийвбивство,круглий
вбивця,убивцявбивця,убивця,дослідженнявбивця,дослідження
вбивця.1,наємниквбивця,наємник,великийвбивця,великий
вгору,внизувгору,внизу,біженецьвгору,біженець
великий,відміннийвеликий,відмінний,марсвеликий,марс
великий палець,палецьвеликий палець,палець,наївнийвеликий палець,наївний
величезний,великийвеличезний,великий,дочкавеличезний,дочка
венера,марсвенера,марс,лордвенера,лорд
вентиляція,клапанвентиляція,клапан,офіційновентиляція,офіційно
вертоліт,швидка допомогавертоліт,швидка допомога,перешкодавертоліт,перешкода
верхній,нижнійверхній,нижній,дуреньверхній,дурень
весілля,зарученнявесілля,заручення,реальністьвесілля,реальність
вечір,нічвечір,ніч,кремвечір,крем
взуття,завантажувативзуття,завантажувати,парламентвзуття,парламент
вибирати,обиративибирати,обирати,храмвибирати,храм
вибори,кампаніявибори,кампанія,простовибори,просто
виборець,кандидатвиборець,кандидат,лялькавиборець,лялька
вибух,землетрусвибух,землетрус,завданнявибух,завдання
вибухнути,лопатисьвибухнути,лопатись,колегавибухнути,колега
вибуховий,бомбавибуховий,бомба,ювілейвибуховий,ювілей
вивчення,дослідженнявивчення,дослідження,різдвянийвивчення,різдвяний
вигнати,викрадативигнати,викрадати,методвигнати,метод
виграти,завитоквиграти,завиток,хлібвиграти,хліб
видалити,усунутивидалити,усунути,бджолавидалити,бджола
вижити,житивижити,жити,протествижити,протест
визначення,концепціявизначення,концепція,зануренийвизначення,занурений
викладач,студентвикладач,студент,падіннявикладач,падіння
виклик,перешкодавиклик,перешкода,планетавиклик,планета
виконання,висячийвиконання,висячий,бідністьвиконання,бідність
використання,застосовувативикористання,застосовувати,дорослийвикористання,дорослий
викуп,викрадачвикуп,викрадач,милявикуп,миля
вилка,ложкавилка,ложка,запитаннявилка,запитання
виловити,хапативиловити,хапати,мотиввиловити,мотив
винищувач,чемпіонвинищувач,чемпіон,моревинищувач,море
винним,невиннийвинним,невинний,картоплявинним,картопля
виправдання,прощативиправдання,прощати,корицявиправдання,кориця
випромінювання,забрудненнявипромінювання,забруднення,ввічливийвипромінювання,ввічливий
випускник,дипломвипускник,диплом,мистецтвовипускник,мистецтво
виробляти,створювативиробляти,створювати,баскетболвиробляти,баскетбол
виробництво,заводвиробництво,завод,інтернетвиробництво,інтернет
висловлювати,описувативисловлювати,описувати,грипвисловлювати,грип
високий,низькийвисокий,низький,родеовисокий,родео
високість,величністьвисокість,величність,вугіллявисокість,вугілля
висота,вагависота,вага,стурбованийвисота,стурбований
виставка,галереявиставка,галерея,міфвиставка,міф
витрачати,відходивитрачати,відходи,хребетнийвитрачати,хребетний
вихід,дверівихід,двері,шкіравихід,шкіра
вівторок,понеділоквівторок,понеділок,тканинавівторок,тканина
від'їзд,прибуттявід'їзд,прибуття,дівчинавід'їзд,дівчина
відбиток пальця,днавідбиток пальця,дна,апетитнийвідбиток пальця,апетитний
відданість,вірністьвідданість,вірність,палецьвідданість,палець
відеоролик,двійниквідеоролик,двійник,фронтвідеоролик,фронт
відмовлятися,залишативідмовлятися,залишати,зеленийвідмовлятися,зелений
відповідати,реагувативідповідати,реагувати,тугавідповідати,туга
відсутність,присутністьвідсутність,присутність,драконвідсутність,дракон
відчуття,враженнявідчуття,враження,бібліотекавідчуття,бібліотека
відьма,прокляттявідьма,прокляття,бетонвідьма,бетон
військовий,цивільнийвійськовий,цивільний,могилавійськовий,могила
віл,снідвіл,снід,словниквіл,словник
вільний,вільновільний,вільно,антидотвільний,антидот
віра,надіявіра,надія,короткийвіра,короткий
вірити,довіравірити,довіра,навантаженнявірити,навантаження
вірний,лояльнийвірний,лояльний,лазаньявірний,лазанья
вітамін,білоквітамін,білок,кандидатвітамін,кандидат
вітрило,якорвітрило,якор,підтримкавітрило,підтримка
вказувати,точкавказувати,точка,трюквказувати,трюк
влада,юрисдикціявлада,юрисдикція,кмітливийвлада,кмітливий
власник,майновласник,майно,спочаткувласник,спочатку
вовк,ведмідьвовк,ведмідь,пізнововк,пізно
водій,пасажирськийводій,пасажирський,вітативодій,вітати
водневий,вугілляводневий,вугілля,картинаводневий,картина
воїн,солдатвоїн,солдат,розділвоїн,розділ
ворота,порталворота,портал,статусворота,статус
вправа,практикавправа,практика,конфліктвправа,конфлікт
вражати,леститивражати,лестити,художниквражати,художник
вражаючий,сенсаційнийвражаючий,сенсаційний,площавражаючий,площа
всередині,назовнівсередині,назовні,місячнийвсередині,місячний
втеча,бігтивтеча,бігти,заважативтеча,заважати
втікач,біженецьвтікач,біженець,визнавативтікач,визнавати
вулиця,проспектвулиця,проспект,працювативулиця,працювати
вухо,оковухо,око,характервухо,характер
вчений,геніальнийвчений,геніальний,рухатисявчений,рухатися
вчора,сьогоднівчора,сьогодні,створеннявчора,створення
гавань,затокагавань,затока,фермергавань,фермер
газета,статтягазета,стаття,тунецьгазета,тунець
галактика,всесвітгалактика,всесвіт,цукоргалактика,цукор
галюкування,ілюзіягалюкування,ілюзія,струмгалюкування,струм
гаманець,кишенягаманець,кишеня,суспільствогаманець,суспільство
гамбургер,бутербродгамбургер,бутерброд,політикагамбургер,політика
гараж,семінаргараж,семінар,гордийгараж,гордий
гармонія,балансгармонія,баланс,посольствогармонія,посольство
гарний,привабливийгарний,привабливий,комісіягарний,комісія
гей,лесбійськийгей,лесбійський,колоніягей,колонія
героїн,кокаїнгероїн,кокаїн,тілогероїн,тіло
гідний,заслуговуватигідний,заслуговувати,карнавалгідний,карнавал
гідність,гордістьгідність,гордість,капсулагідність,капсула
гітара,піаніногітара,піаніно,ніщогітара,ніщо
глобальний,національнийглобальний,національний,завантажуватиглобальний,завантажувати
глухий,сліпийглухий,сліпий,доказиглухий,докази
голий,оголенийголий,оголений,сьогодніголий,сьогодні
голодний,втомленийголодний,втомлений,програмне забезпеченняголодний,програмне забезпечення
голосувати,більшістьголосувати,більшість,лампаголосувати,лампа
гонка,марафонгонка,марафон,запуститигонка,запустити
гора,пагорбгора,пагорб,слухатигора,слухати
горила,мавпагорила,мавпа,поворотгорила,поворот
горілка,віскігорілка,віскі,вдячнийгорілка,вдячний
гра,гратигра,грати,зерногра,зерно
грабувати,крастиграбувати,красти,абсолютнограбувати,абсолютно
гравець,тренергравець,тренер,духовкагравець,духовка
гран,кілограмгран,кілограм,рекомендуватигран,рекомендувати
графиня,баронграфиня,барон,вториннийграфиня,вторинний
грецький,римськийгрецький,римський,лояльністьгрецький,лояльність
грім,блискавкагрім,блискавка,кнопокгрім,кнопок
гроші,готівкагроші,готівка,хмарагроші,хмара
грудень,листопадгрудень,листопад,подвійнийгрудень,подвійний
груди,шлунокгруди,шлунок,управлятигруди,управляти
група,бандагрупа,банда,сповіщеннягрупа,сповіщення
група.1,оркестргрупа,оркестр,впливгрупа,вплив
давати,пропозиціядавати,пропозиція,драмадавати,драма
далеко,близькодалеко,близько,ромдалеко,ром
дар,компліментдар,комплімент,здар,з
двері,вікнодвері,вікно,банкірдвері,банкір
двигун,танкдвигун,танк,стражданнядвигун,страждання
демократія,свободадемократія,свобода,дивандемократія,диван
демонстрація,протестдемонстрація,протест,дряпатидемонстрація,дряпати
депресія,стресдепресія,стрес,ведмідьдепресія,ведмідь
дерева,кущдерева,кущ,телеграмадерева,телеграма
держава,федеральнийдержава,федеральний,повільнодержава,повільно
десь,деіндедесь,деінде,крадіжкадесь,крадіжка
десятиліття,століттядесятиліття,століття,темрявадесятиліття,темрява
детектив,агентдетектив,агент,загальнийдетектив,загальний
детермінація,мужністьдетермінація,мужність,щоднядетермінація,щодня
дешевий,дорогийдешевий,дорогий,визнаватидешевий,визнавати
джульєтта,ромеоджульєтта,ромео,жалюгіднийджульєтта,жалюгідний
дзеркало,відбитокдзеркало,відбиток,поетдзеркало,поет
дивитися,подивитисядивитися,подивитися,портфельдивитися,портфель
дивний,незвичайнийдивний,незвичайний,черв'якдивний,черв'як
дивовижний,вражаючийдивовижний,вражаючий,супротивдивовижний,супротив
динаміт,порохдинаміт,порох,сказатидинаміт,сказати
директор,виробникдиректор,виробник,піанінодиректор,піаніно
дитина,малядитина,маля,збільшитидитина,збільшити
дитинство,молодьдитинство,молодь,закондитинство,закон
диявол,ангелдиявол,ангел,каналдиявол,канал
дівчата,хлопчикидівчата,хлопчики,шлунокдівчата,шлунок
діяльність,активнийдіяльність,активний,солдатдіяльність,солдат
дно,вершинадно,вершина,відмовлятидно,відмовляти
до побачення,здравствуйтедо побачення,здравствуйте,вічнийдо побачення,вічний
добровільно,волонтердобровільно,волонтер,порталдобровільно,портал
довго,короткийдовго,короткий,явищедовго,явище
довжина,розмірдовжина,розмір,справжнійдовжина,справжній
довіра,повагадовіра,повага,кілометрдовіра,кілометр
додатковий,більшедодатковий,більше,божевіллядодатковий,божевілля
дозволяє,дозволятидозволяє,дозволяти,студентдозволяє,студент
доказ,доказидоказ,докази,надзвичайнодоказ,надзвичайно
доктор,хірургдоктор,хірург,загальнийдоктор,загальний
документ,управлятидокумент,управляти,налякатидокумент,налякати
долар,фунтдолар,фунт,блискавкадолар,блискавка
долина,пустелядолина,пустеля,атомнийдолина,атомний
доля,фатумдоля,фатум,особливийдоля,особливий
допомагати,довідкадопомагати,довідка,насосдопомагати,насос
допомога,підтримкадопомога,підтримка,стілдопомога,стіл
доріжка,маршрутдоріжка,маршрут,гарантіядоріжка,гарантія
досконалий,ідеальнийдосконалий,ідеальний,кокаїндосконалий,кокаїн
дослідник,аналітикдослідник,аналітик,штовхатидослідник,штовхати
достатньо,доситьдостатньо,досить,тренердостатньо,тренер
досягати успіху,управлятидосягати успіху,управляти,супермендосягати успіху,супермен
дохід,прибутокдохід,прибуток,словодохід,слово
дрібний,пінгдрібний,пінг,перебуваннядрібний,перебування
дріт,кабельдріт,кабель,країнадріт,країна
друг,колегадруг,колега,ланцюгдруг,ланцюг
дружба,відносинидружба,відносини,південнийдружба,південний
дружина,чоловікдружина,чоловік,плечедружина,плече
дружній,ввічливийдружній,ввічливий,кабінадружній,кабіна
дуже,надзвичайнодуже,надзвичайно,банківськийдуже,банківський
думати,розглядатидумати,розглядати,оселдумати,осел
дурість,божевіллядурість,божевілля,генератордурість,генератор
дурний,наївнийдурний,наївний,НЛОдурний,НЛО
дух,душадух,душа,статтядух,стаття
егоїстичний,упертийегоїстичний,упертий,нижнійегоїстичний,нижній
елегантний,моднийелегантний,модний,ниркаелегантний,нирка
електрика,струмелектрика,струм,календарелектрика,календар
електричний,магнітнийелектричний,магнітний,обстеженняелектричний,обстеження
елемент,факторелемент,фактор,мільйонерелемент,мільйонер
емоційний,психічнийемоційний,психічний,відмовлятиемоційний,відмовляти
енергія,потужністьенергія,потужність,готуватиенергія,готувати
епідемія,чумаепідемія,чума,дивитисяепідемія,дивитися
епізод,серіяепізод,серія,внутрішнійепізод,внутрішній
ефект,впливефект,вплив,чашаефект,чаша
ефективний,кориснийефективний,корисний,єпископефективний,єпископ
жалюгідний,жалкийжалюгідний,жалкий,свининажалюгідний,свинина
жарт,трюкжарт,трюк,ручнийжарт,ручний
жахливий,страшнийжахливий,страшний,знаряддяжахливий,знаряддя
живопис,художникживопис,художник,більшеживопис,більше
жінка,вдоважінка,вдова,кабінетжінка,кабінет
жіночий,чоловічийжіночий,чоловічий,текстжіночий,текст
жовтень,вересеньжовтень,вересень,компліментжовтень,комплімент
жовтий,червонийжовтий,червоний,договіржовтий,договір
жорсткий,міцнийжорсткий,міцний,розмоважорсткий,розмова
жорстокий,брутальнийжорстокий,брутальний,технологіяжорстокий,технологія
жорстокість,зложорстокість,зло,таксіжорстокість,таксі
жувати,проковтнутижувати,проковтнути,майбутнєжувати,майбутнє
журнал,плейбойжурнал,плейбой,мучитижурнал,мучити
журналіст,репортержурналіст,репортер,стоятижурналіст,стояти
забавний,дотепнийзабавний,дотепний,фарбуватизабавний,фарбувати
забороняти,забороненийзабороняти,заборонений,акулазабороняти,акула
загалом,природнозагалом,природно,вітерзагалом,вітер
заголовок,назвазаголовок,назва,дозазаголовок,доза
загоюватися,відновлюватизагоюватися,відновлювати,гарячийзагоюватися,гарячий
зазвичай,нормальнозазвичай,нормально,кошмарзазвичай,кошмар
закінчити,кінецьзакінчити,кінець,іроніязакінчити,іронія
законний,незаконнийзаконний,незаконний,африказаконний,африка
закриття,відкриттязакриття,відкриття,собаказакриття,собака
залишати,перебуваннязалишати,перебування,золотийзалишати,золотий
залучати,уважністьзалучати,уважність,профільзалучати,профіль
замінник,замінитизамінник,замінити,помститисязамінник,помститися
замку,палацзамку,палац,жертвазамку,жертва
замок,ключзамок,ключ,рекламазамок,реклама
заморожувати,розтопитизаморожувати,розтопити,кар'єразаморожувати,кар'єра
запам'ятати,забутизапам'ятати,забути,аутопсіязапам'ятати,аутопсія
запах,смакзапах,смак,семінарзапах,семінар
записування,рекордзаписування,рекорд,моднийзаписування,модний
запит,попитзапит,попит,хіміязапит,хімія
запитувати,запитаннязапитувати,запитання,ангелзапитувати,ангел
зарозумілість,незнаннязарозумілість,незнання,кільцезарозумілість,кільце
зарплата,пенсіязарплата,пенсія,блискзарплата,блиск
затвердження,дозвілзатвердження,дозвіл,нездоровийзатвердження,нездоровий
захворювання,грипзахворювання,грип,вузькийзахворювання,вузький
захищати,боронитизахищати,боронити,коробказахищати,коробка
західний,південнийзахідний,південний,читаннязахідний,читання
зачинено,замкненийзачинено,замкнений,часникзачинено,часник
заява,коментарзаява,коментар,розбитизаява,розбити
збирати,колекціонуватизбирати,колекціонувати,пухлиназбирати,пухлина
зброю,пістолетзброю,пістолет,експертзброю,експерт
зброя,арсеналзброя,арсенал,чудовийзброя,чудовий
збуджений,гордийзбуджений,гордий,підлогазбуджений,підлога
звичайний,стандартнийзвичайний,стандартний,пов'язуватизвичайний,пов'язувати
звільнення,відставказвільнення,відставка,десертзвільнення,десерт
звук,шумзвук,шум,пасажирськийзвук,пасажирський
здатність,потенціалздатність,потенціал,брутальнийздатність,брутальний
ззаду,фронтззаду,фронт,аматорськийззаду,аматорський
зима,літнійзима,літній,квитокзима,квиток
зізнатися,визнаватизізнатися,визнавати,західнийзізнатися,західний
зірка,знаменитістьзірка,знаменитість,готовийзірка,готовий
зйомка,пострілзйомка,постріл,ревнивийзйомка,ревнивий
злий,ревнивийзлий,ревнивий,змаганнязлий,змагання
зловмисник,жертвазловмисник,жертва,конференціязловмисник,конференція
злочинність,гріхзлочинність,гріх,висячийзлочинність,висячий
зміст,міститизміст,містити,комерційнийзміст,комерційний
змія,черв'якзмія,черв'як,марафонзмія,марафон
знав,визнаватизнав,визнавати,природнийзнав,природний
знак,формазнак,форма,мозокзнак,мозок
знаменитий,популярнийзнаменитий,популярний,попитзнаменитий,попит
знання,зараззнання,зараз,джипзнання,джип
знання.1,досвідзнання,досвід,опівночізнання,опівночі
знаходження,пошукзнаходження,пошук,годуватизнаходження,годувати
зникнення,смертьзникнення,смерть,сорочказникнення,сорочка
зовнішній,внутрішнійзовнішній,внутрішній,фазазовнішній,фаза
зона,площазона,площа,плейбойзона,плейбой
зонд,капсулазонд,капсула,низькийзонд,низький
зрадник,шпигунзрадник,шпигун,крамницязрадник,крамниця
зрештою,нарештізрештою,нарешті,шерлокзрештою,шерлок
зрозуміти,усвідомлюватизрозуміти,усвідомлювати,пожежазрозуміти,пожежа
зубний,цвяхзубний,цвях,зберігатизубний,зберігати
зустріч,конференціязустріч,конференція,купуватизустріч,купувати
зустрічатися,дивитисязустрічатися,дивитися,палицязустрічатися,палиця
іграшка,лялькаіграшка,лялька,консервативнийіграшка,консервативний
ідіот,дуреньідіот,дурень,рекордідіот,рекорд
їжа,продуктиїжа,продукти,зарученняїжа,заручення
їздити,водитиїздити,водити,стресїздити,стрес
імператор,імперськийімператор,імперський,алмазімператор,алмаз
імперія,династіяімперія,династія,іншийімперія,інший
ін'єкція,дозаін'єкція,доза,журналістикаін'єкція,журналістика
інвестор,банкірінвестор,банкір,забрудненняінвестор,забруднення
інвестувати,фінансуванняінвестувати,фінансування,голосінвестувати,голос
індивідуальний,людинаіндивідуальний,людина,мечіндивідуальний,меч
індичка,курятинаіндичка,курятина,незручнийіндичка,незручний
інспекція,обстеженняінспекція,обстеження,вільноінспекція,вільно
інструмент,знаряддяінструмент,знаряддя,зателефонуватиінструмент,зателефонувати
інтимний,особистийінтимний,особистий,захід сонцяінтимний,захід сонця
інтуїція,інстинктінтуїція,інстинкт,готельінтуїція,готель
інфекція,вірусінфекція,вірус,делікатнийінфекція,делікатний
інформатор,джерелоінформатор,джерело,відносиниінформатор,відносини
інформація,даніінформація,дані,обідінформація,обід
інший,аналогічнийінший,аналогічний,розтопитиінший,розтопити
іронічний,іроніяіронічний,іронія,модельіронічний,модель
їсти,годуватиїсти,годувати,старшийїсти,старший
ймовірно,вірогідністьймовірно,вірогідність,міжнароднийймовірно,міжнародний
йти,вводитийти,вводити,кількістьйти,кількість
кава,чашкакава,чашка,міцькава,міць
камінь,роккамінь,рок,юрисдикціякамінь,юрисдикція
капелюх,шоломкапелюх,шолом,медичнийкапелюх,медичний
капіталізм,анархіякапіталізм,анархія,значоккапіталізм,значок
капітан,командувачкапітан,командувач,вартістькапітан,вартість
каплиця,церквакаплиця,церква,монстркаплиця,монстр
кардинал,єпископкардинал,єпископ,порожнійкардинал,порожній
карта,компаскарта,компас,ярмароккарта,ярмарок
картель,мафіякартель,мафія,незнаннякартель,незнання
катування,мучитикатування,мучити,платформакатування,платформа
кафедра,таблицякафедра,таблиця,солодкийкафедра,солодкий
качка,гусаккачка,гусак,мільйонкачка,мільйон
квартал,половинаквартал,половина,сумніватисяквартал,сумніватися
квартира,будинокквартира,будинок,упертийквартира,упертий
квітка,рослинаквітка,рослина,необхіднийквітка,необхідний
кемпінг,пікніккемпінг,пікнік,більшістькемпінг,більшість
килимок,підлогакилимок,підлога,ціннийкилимок,цінний
кисень,повітрякисень,повітря,розміркисень,розмір
кінь,оселкінь,осел,данікінь,дані
кішка,собакакішка,собака,менеджменткішка,менеджмент
класичний,типовийкласичний,типовий,заручницякласичний,заручниця
клієнт,хворийклієнт,хворий,доситьклієнт,досить
клініка,лікарняклініка,лікарня,інспекторклініка,інспектор
клятва,присягатиклятва,присягати,покриватиклятва,покривати
книга,бібліякнига,біблія,білкакнига,білка
князь,принцесакнязь,принцеса,виноробствокнязь,виноробство
ковбойський,родеоковбойський,родео,бібліяковбойський,біблія
ковток,падінняковток,падіння,губернаторковток,губернатор
коли-небудь,ніколиколи-небудь,ніколи,мафіяколи-небудь,мафія
коліна,плечеколіна,плече,шерифколіна,шериф
команда,лігакоманда,ліга,гусаккоманда,гусак
комаха,павуккомаха,павук,послакомаха,посла
комедія,драмакомедія,драма,дозволятикомедія,дозволяти
комісар,інспекторкомісар,інспектор,аспіринкомісар,аспірин
комітет,комісіякомітет,комісія,гольфкомітет,гольф
комп'ютер,програмне забезпеченнякомп'ютер,програмне забезпечення,завждикомп'ютер,завжди
комуніст,расисткомуніст,расист,відчиненокомуніст,відчинено
конституція,законконституція,закон,бруднийконституція,брудний
консультувати,консультаціяконсультувати,консультація,курятинаконсультувати,курятина
конфіденційність,приватнийконфіденційність,приватний,ураганконфіденційність,ураган
концентрат,зосереджуватиконцентрат,зосереджувати,населенняконцентрат,населення
концерт,туристконцерт,турист,таблицяконцерт,таблиця
коньяк,ромконьяк,ром,кампаніяконьяк,кампанія
копіювати,оригінальнийкопіювати,оригінальний,пікніккопіювати,пікнік
королівство,королівськийкоролівство,королівський,навігаціякоролівство,навігація
короля,королевакороля,королева,тютюнкороля,тютюн
корпорація,компаніякорпорація,компанія,малокорпорація,мало
коханець,господинякоханець,господиня,плануватикоханець,планувати
коштовність,алмазкоштовність,алмаз,другийкоштовність,другий
краватка,пов'язуватикраватка,пов'язувати,досвідкраватка,досвід
краса,чарівністькраса,чарівність,бонускраса,бонус
кредит,боргкредит,борг,затокакредит,затока
криза,ситуаціякриза,ситуація,датчиккриза,датчик
кримінальний,злодійкримінальний,злодій,здобичкримінальний,здобич
кришка,окулярикришка,окуляри,жахкришка,жах
кролик,лисицякролик,лисиця,радіокролик,радіо
кузен,відноснийкузен,відносний,еволюціякузен,еволюція
куля,калібркуля,калібр,рахуватикуля,рахувати
куртка,сорочкакуртка,сорочка,наївнийкуртка,наївний
лев,драконлев,дракон,питилев,пити
легенда,міфлегенда,міф,відновлюватилегенда,відновлювати
легкий,неможливийлегкий,неможливий,одкровеннялегкий,одкровення
легкий.1,темрявалегкий,темрява,гніздолегкий,гніздо
леді,лордледі,лорд,кориснийледі,корисний
лейтенант,сержантлейтенант,сержант,описуватилейтенант,описувати
лекція,семінарлекція,семінар,волоссялекція,волосся
лизати,смоктатилизати,смоктати,терміналлизати,термінал
липень,червеньлипень,червень,спадщиналипень,спадщина
лихоманка,кашельлихоманка,кашель,простолихоманка,просто
ліберальний,консервативнийліберальний,консервативний,ромеоліберальний,ромео
ліворуч,правийліворуч,правий,транспортний засібліворуч,транспортний засіб
лідер,членлідер,член,людиналідер,людина
ліжка,диванліжка,диван,керівникліжка,керівник
ліки,алкогольліки,алкоголь,галереяліки,галерея
лікування,терапіялікування,терапія,усмішкалікування,усмішка
лімузин,таксілімузин,таксі,анатоміялімузин,анатомія
лін,мінлін,мін,порятуноклін,порятунок
ліс,джунгліліс,джунглі,розмоваліс,розмова
літати,землялітати,земля,пульслітати,пульс
література,мистецтволітература,мистецтво,нещаснийлітература,нещасний
лобстер,тунецьлобстер,тунець,винятковийлобстер,винятковий
любов,ненавистьлюбов,ненависть,колалюбов,кола
люди,населеннялюди,населення,охоронецьлюди,охоронець
людський,людиналюдський,людина,іноділюдський,іноді
лють,гнівлють,гнів,бананлють,банан
лякати,налякатилякати,налякати,альбомлякати,альбом
м'яз,нервовийм'яз,нервовий,невиннийм'яз,невинний
м'ясо,свининам'ясо,свинина,нареченийм'ясо,наречений
мабуть,може бутимабуть,може бути,округмабуть,округ
магазин,крамницямагазин,крамниця,вторгненнямагазин,вторгнення
майонез,кетчупмайонез,кетчуп,тутмайонез,тут
максимальний,мінімальниймаксимальний,мінімальний,натовпмаксимальний,натовп
малий,маломалий,мало,поцілунокмалий,поцілунок
малювати,фарбуватималювати,фарбувати,контактмалювати,контакт
мама,татомама,тато,ритуальниймама,ритуальний
маніпулювати,контрольманіпулювати,контроль,прийомманіпулювати,прийом
маркетинг,рекламамаркетинг,реклама,злодіймаркетинг,злодій
масаж,йогамасаж,йога,призначеннямасаж,призначення
масло,вугіллямасло,вугілля,пошукмасло,пошук
масло.1,медмасло,мед,пристойниймасло,пристойний
математика,фізикаматематика,фізика,кесарматематика,кесар
матрос,піратськийматрос,піратський,показуватиматрос,показувати
матч,турнірматч,турнір,вводитиматч,вводити
машина,роботмашина,робот,здравствуйтемашина,здравствуйте
машина.1,транспортний засібмашина,транспортний засіб,особистиймашина,особистий
медаль,трофеймедаль,трофей,маршрутмедаль,маршрут
медальйон,артефактмедальйон,артефакт,лояльниймедальйон,лояльний
мера,шерифмера,шериф,заповідникмера,заповідник
мертвий,живиймертвий,живий,підводний човенмертвий,підводний човен
металевий,залізометалевий,залізо,війнаметалевий,війна
