"uk_cue","uk_fake_cue","uk_target","uk_fake_target","en_cue","en_target"
"клітина","клгвина","в'язниця","їxязниця","cell","prison"
"народження","наромаення","вагітність","вагіршість","birth","pregnancy"
"цінний","ціалий","важливий","важливно","valuable","important"
"сенс","сенe","важливість","важливнать","meaning","importance"
"антидот","антихшт","вакцина","вачіина","antidote","vaccine"
"портфель","портчула","валіза","валією","briefcase","suitcase"
"зомбі","зобьі","вампір","вампбе","zombie","vampire"
"причіп","причli","фургон","фургво","trailer","van"
"кориця","кориво","ваніль","ватiль","cinnamon","vanilla"
"душ","лош","ванна кімната","ванновкімната","shower","bathroom"
"навантаження","надонтаження","вантаж","ванттр","load","cargo"
"джип","джщт","вантажівка","вантаженка","jeep","truck"
"шерлок","шейдок","ватсон","сятсон","sherlock","watson"
"самогубство","самогурутво","вбивство","вбившиво","suicide","murder"
"убивця","убивін","вбивця","ппивця","killer","murderer"
"наємник","нагнанці","вбивця","ппивця","mercenary","assassin"
"внизу","випанутий","вгору","neору","down","up"
"відмінний","відземний","великий","величкй","excellent","great"
"палець","пандць","великий палець","великитепалець","finger","thumb"
"великий","величкй","величезний","величеячий","big","huge"
"марс","магo","венера","вещара","mars","venus"
"клапан","клтуан","вентиляція","веджиляція","valve","ventilation"
"швидка допомога","швидка дащомога","вертоліт","вертикіт","ambulance","helicopter"
"нижній","втжній","верхній","верхжил","lower","upper"
"заручення","долучення","весілля","весірия","engagement","wedding"
"ніч","лач","вечір","веьор","night","evening"
"завантажувати","завантодувати","взуття","взутро","boot","shoe"
"обирати","піирати","вибирати","губирати","choose","select"
"кампанія","кампанце","вибори","вибочк","campaign","election"
"кандидат","кандидеш","виборець","викарця","candidate","voter"
"землетрус","зекаетрус","вибух","вигах","earthquake","explosion"
"лопатись","лопарась","вибухнути","вигахнути","burst","explode"
"бомба","ботоа","вибуховий","вилаховий","bomb","explosive"
"дослідження","дослвиження","вивчення","вивчасно","research","study"
"викрадати","викрадцаи","вигнати","висяати","kidnap","abduct"
"завиток","залюток","виграти","виставь","gain","win"
"усунути","усерути","видалити","видакати","eliminate","remove"
"жити","лати","вижити","вистти","live","survive"
"концепція","концукція","визначення","вистачання","concept","definition"
"студент","столент","викладач","викладпя","student","teacher"
"перешкода","перекодую","виклик","виерик","obstacle","challenge"
"висячий","вицучий","виконання","вичинання","hanging","execution"
"застосовувати","запробовувати","використання","використійно","apply","use"
"викрадач","викрадпя","викуп","сткуп","kidnapper","ransom"
"ложка","лотна","вилка","виїда","spoon","fork"
"хапати","хапара","виловити","йоловити","grab","catch"
"чемпіон","чемптин","винищувач","винилевач","champion","fighter"
"невинний","невиприй","винним","виерим","innocent","guilty"
"прощати","прбpати","виправдання","великодання","forgive","excuse"
"забруднення","заображення","випромінювання","випропонованих","contamination","radiation"
"диплом","дипляж","випускник","випулиник","diploma","graduate"
"створювати","ствоговати","виробляти","вироджяти","create","produce"
"завод","забуд","виробництво","виропоицтво","factory","production"
"описувати","опхтувати","висловлювати","вислуглювати","describe","express"
"низький","нисский","високий","випикий","low","high"
"величність","величневть","високість","винькість","majesty","highness"
"вага","льга","висота","випата","weight","height"
"галерея","мплерея","виставка","виймають","gallery","exhibition"
"відходи","віднали","витрачати","витротати","waste","spend"
"двері","злері","вихід","витад","exit","entrance"
"понеділок","поневалок","вівторок","вічіорок","monday","tuesday"
"прибуття","прибратя","від'їзд","віддоза","arrival","departure"
"дна","рса","відбиток пальця","відстерігаються","dna","fingerprint"
"вірність","вістість","відданість","відданство","fidelity","devotion"
"двійник","сіійник","відеоролик","віздоровий","dvd","video"
"залишати","закошати","відмовлятися","відтворяться","leave","abandon"
"реагувати","репоувати","відповідати","відчувавати","answer","reply"
"присутність","присраність","відсутність","відйманість","presence","absence"
"враження","чиаження","відчуття","відності","impression","feeling"
"прокляття","проклявкя","відьма","відною","curse","witch"
"цивільний","пoвільний","військовий","військійий","civil","military"
"снід","сной","віл","гел","aids","hiv"
"вільно","вільку","вільний","тольний","freely","free"
"надія","накая","віра","вікр","hope","faith"
"довіра","довішо","вірити","марити","trust","believe"
"лояльний","одяльний","вірний","журний","loyal","faithful"
"білок","калок","вітамін","вітайлн","protein","vitamin"
"якор","агор","вітрило","віетило","anchor","sail"
"точка","вічка","вказувати","вкирувати","point","indicate"
"юрисдикція","юрисдишнія","влада","влита","jurisdiction","authority"
"майно","пойно","власник","властлк","property","owner"
"ведмідь","вечіідь","вовк","вотна","bear","wolf"
"пасажирський","паножирський","водій","волюй","passenger","driver"
"вугілля","цигілля","водневий","вораевий","carbon","hydrogen"
"солдат","соажат","воїн","воey","soldier","warrior"
"портал","поощал","ворота","строта","portal","gate"
"практика","пракнька","вправа","вптива","practice","exercise"
"лестити","ледоити","вражати","вручати","flatter","impress"
"сенсаційний","сеоваційний","вражаючий","чиажаючий","sensational","spectacular"
"назовні","надивні","всередині","рдередині","outside","inside"
"бігти","білли","втеча","втаса","flee","escape"
"біженець","бічннець","втікач","втікll","refugee","fugitive"
"проспект","проагент","вулиця","вулиін","avenue","street"
"око","рло","вухо","вудк","eye","ear"
"геніальний","гертальний","вчений","вчорий","genius","scientist"
"сьогодні","сьогодер","вчора","вчена","today","yesterday"
"затока","замека","гавань","кивань","bay","harbor"
"стаття","стхотя","газета","гасота","article","newspaper"
"всесвіт","всдевіт","галактика","галаарика","universe","galaxy"
"ілюзія","ирюзія","галюкування","гавскування","illusion","hallucination"
"кишеня","авшеня","гаманець","гамаршць","pocket","wallet"
"бутерброд","хотерброд","гамбургер","галаургер","sandwich","hamburger"
"семінар","семімир","гараж","гайдж","workshop","garage"
"баланс","балапа","гармонія","гармонок","balance","harmony"
"привабливий","привтеливий","гарний","гальий","pretty","beautiful"
"лесбійський","лесбюлський","гей","жій","lesbian","gay"
"кокаїн","кокашт","героїн","героrd","cocaine","heroin"
"заслуговувати","заслововувати","гідний","авдний","deserve","worthy"
"гордість","госність","гідність","твдність","pride","dignity"
"піаніно","піанкро","гітара","интара","piano","guitar"
"національний","натоональний","глобальний","глежальний","national","global"
"сліпий","слзбий","глухий","глявий","blind","deaf"
"оголений","огерений","голий","жалий","nude","naked"
"втомлений","втомалний","голодний","голосяий","tired","hungry"
"більшість","більнюсть","голосувати","голомівати","majority","vote"
"марафон","маракан","гонка","годаа","marathon","race"
"пагорб","пагоуя","гора","адра","hill","mountain"
"мавпа","маoга","горила","гонала","monkey","gorilla"
"віскі","вііті","горілка","говолка","whiskey","vodka"
"грати","едати","гра","уба","play","game"
"красти","крлити","грабувати","грснувати","steal","rob"
"тренер","трютер","гравець","ювавець","coach","player"
"кілограм","кілобрано","гран","грлі","kilo","gram"
"барон","балкн","графиня","графчая","baron","countess"
"римський","рисуький","грецький","овецький","roman","greek"
"блискавка","блиссовка","грім","грює","lightning","thunder"
"готівка","голдвка","гроші","гріпі","cash","money"
"листопад","литропад","грудень","неудень","november","december"
"шлунок","шлюпок","груди","грїти","stomach","chest"
"банда","баьна","група","грйза","gang","group"
"оркестр","оркетер","група","грйза","orchestra","band"
"пропозиція","пропозицнї","давати","зовати","offer","give"
"близько","акизько","далеко","далене","near","far"
"комплімент","компосмент","дар","атр","compliment","gift"
"вікно","вірґо","двері","злері","window","door"
"танк","тавш","двигун","двиглі","tank","engine"
"свобода","свобкса","демократія","демократьт","freedom","democracy"
"протест","протомт","демонстрація","демонстревія","protest","demonstration"
"стрес","стенс","депресія","дегресує","stress","depression"
"кущ","яощ","дерева","деребя","bush","tree"
"федеральний","федебольний","держава","держзла","federal","state"
"деінде","urіншому місці","десь","делб","elsewhere","somewhere"
"століття","столітив","десятиліття","десяейліття","century","decade"
"агент","счент","детектив","нитектив","agent","detective"
"мужність","мужнїеть","детермінація","детермарація","courage","determination"
"дорогий","доробцй","дешевий","деодвий","expensive","cheap"
"ромео","рокро","джульєтта","джульєума","romeo","juliet"
"відбиток","відстоки","дзеркало","вмеркало","reflection","mirror"
"подивитися","почевитися","дивитися","диактися","look","watch"
"незвичайний","недвигаемся","дивний","зовний","unusual","strange"
"вражаючий","чиажаючий","дивовижний","дицивижний","impressive","amazing"
"порох","пошах","динаміт","динайгт","gunpowder","dynamite"
"виробник","виропоик","директор","боректор","producer","director"
"маля","буля","дитина","дитиск","baby","child"
"молодь","молохи","дитинство","дитижнтво","youth","childhood"
"ангел","анзил","диявол","диявпу","angel","devil"
"хлопчики","хллечики","дівчата","діидата","boys","girls"
"активний","язтивний","діяльність","діяльницть","active","activity"
"вершина","вершава","дно","рсо","top","bottom"
"здравствуйте","здравсрбуйте","до побачення","доїхобачення","hello","bye"
"волонтер","володцер","добровільно","добровжиьно","volunteer","voluntarily"
"короткий","короавий","довго","дорло","short","long"
"розмір","розшёл","довжина","довжньа","size","length"
"повага","пованоння","довіра","дофора","respect","confidence"
"більше","більті","додатковий","довитковий","extra","additional"
"дозволяти","домовлять","дозволяє","домовляв","allow","let"
"докази","докаря","доказ","ліказ","evidence","proof"
"хірург","сбрург","доктор","дочнор","surgeon","doctor"
"управляти","ціравляти","документ","домімент","file","document"
"фунт","фусу","долар","доабр","pound","dollar"
"пустеля","пустимя","долина","доличи","desert","valley"
"фатум","антум","доля","рiля","fate","destiny"
"довідка","понадка","допомагати","доподдгати","help","assist"
"підтримка","піддружка","допомога","допомонт","support","assistance"
"маршрут","магірут","доріжка","ндріжка","route","path"
"ідеальний","ввеальний","досконалий","досконпpий","ideal","perfect"
"аналітик","аналітті","дослідник","дослерник","analyst","investigator"
"досить","довгть","достатньо","досталла","enough","sufficient"
"управляти","ціравляти","досягати успіху","досягати спіхом","manage","succeed"
"прибуток","прибутіш","дохід","чехід","profit","income"
"пінг","піка","дрібний","дровний","ping","ding"
"кабель","шибель","дріт","yміт","cable","wire"
"колега","колеут","друг","дрve","colleague","friend"
"відносини","відносном","дружба","дрсуба","relationship","friendship"
"чоловік","чолоідка","дружина","дрклина","husband","wife"
"ввічливий","ввціливий","дружній","дрозній","polite","friendly"
"надзвичайно","дисзвичайно","дуже","думо","extremely","very"
"розглядати","розступить","думати","пимати","consider","think"
"божевілля","божевісия","дурість","думксть","madness","stupidity"
"наївний","наодний","дурний","дурнул","naïve","stupid"
"душа","дубо","дух","спх","soul","spirit"
"упертий","упхмтий","егоїстичний","боєїстичний","stubborn","selfish"
"модний","падний","елегантний","ельзантний","fashionable","elegant"
"струм","сттiм","електрика","елековика","current","electricity"
"магнітний","маихітний","електричний","електренний","magnetic","electric"
"фактор","біктор","елемент","елвлент","factor","element"
"психічний","психроний","емоційний","емшнійний","mental","emotional"
"потужність","потужньоть","енергія","енервая","power","energy"
"чума","жима","епідемія","епгаемія","plague","epidemic"
"серія","дурія","епізод","іpізод","series","episode"
"вплив","впкав","ефект","мaект","influence","effect"
"корисний","кооясний","ефективний","дйективний","useful","effective"
"жалкий","мулкий","жалюгідний","целюгідний","miserable","pathetic"
"трюк","тред","жарт","церт","trick","joke"
"страшний","страціий","жахливий","жахливно","terrible","horrible"
"художник","хужежник","живопис","живоюєс","artist","painter"
"вдова","усова","жінка","винка","widow","woman"
"чоловічий","чоловірей","жіночий","жіновуй","male","female"
"вересень","верекань","жовтень","жовтаєь","september","october"
"червоний","червтрий","жовтий","жоцний","red","yellow"
"міцний","міарий","жорсткий","жорсючий","tough","hard"
"брутальний","воутальний","жорстокий","жорсавкий","brutal","cruel"
"зло","кио","жорстокість","жорстолпсть","evil","cruelty"
"проковтнути","проковтніши","жувати","озвати","swallow","chew"
"плейбой","ажейбой","журнал","жухвал","playboy","magazine"
"репортер","ретертер","журналіст","вірналіст","reporter","journalist"
"дотепний","алтепний","забавний","забарбий","witty","funny"
"заборонений","забоденений","забороняти","забодиняти","forbidden","prohibit"
"природно","природку","загалом","загаррм","naturally","generally"
"назва","натом","заголовок","заціловок","name","title"
"відновлювати","відвторювати","загоюватися","загодкатися","recover","heal"
"нормально","носиально","зазвичай","зазволяй","normally","usually"
"кінець","аднець","закінчити","закіорити","end","finish"
"незаконний","незаконная","законний","заненний","illegal","legal"
"відкриття","відвчився","закриття","закритич","opening","closure"
"перебування","перечуження","залишати","залиісти","stay","remain"
"уважність","увкіність","залучати","задичати","attention","attract"
"замінити","замішати","замінник","затонник","replace","substitute"
"палац","паенц","замку","заожу","palace","castle"
"ключ","клвк","замок","защик","key","lock"
"розтопити","розмовини","заморожувати","заморопивати","melt","freeze"
"забути","забухг","запам'ятати","запапіятати","forget","remember"
"смак","смрт","запах","заоих","taste","smell"
"рекорд","рекоар","записування","запичивання","record","recording"
"попит","лупит","запит","зарут","demand","request"
"запитання","запитатья","запитувати","заратувати","question","ask"
"незнання","неграфія","зарозумілість","томозумілість","ignorance","arrogance"
"пенсія","пенсор","зарплата","зарпкета","pension","salary"
"дозвіл","доневі","затвердження","затвергоення","permission","approval"
"грип","грop","захворювання","захвораяання","flu","disease"
"боронити","боробути","захищати","захиегти","protect","defend"
"південний","півмінних","західний","завядний","southern","western"
"замкнений","заступний","зачинено","занінено","locked","closed"
"коментар","коментей","заява","заїта","comment","statement"
"колекціонувати","колекцвинувати","збирати","люирати","collect","gather"
"пістолет","экстолет","зброю","пирою","pistol","weapon"
"арсенал","арізнал","зброя","збдая","arsenal","armory"
"гордий","гордйо","збуджений","збсюжений","proud","excited"
"стандартний","стандартерй","звичайний","звичткний","ordinary","usual"
"відставка","відрвався","звільнення","звілймення","resignation","dismissal"
"шум","адм","звук","звсб","noise","sound"
"потенціал","потерсіал","здатність","здатласть","capacity","ability"
"фронт","ніонт","ззаду","оюаду","front","rear"
"літній","катній","зима","ннма","summer","winter"
"визнавати","виставать","зізнатися","зізначити","admit","confess"
"знаменитість","знамбритість","зірка","зікаа","celebrity","star"
"постріл","постаєш","зйомка","юкомка","shot","shoot"
"ревнивий","резвивий","злий","ежий","jealous","angry"
"жертва","желава","зловмисник","злвaмисник","victim","attacker"
"гріх","грев","злочинність","злочсиність","sin","crime"
"містити","щестити","зміст","змрят","contain","content"
"черв'як","червоюк","змія","ерія","worm","snake"
"визнавати","виставать","знав","учав","recognize","knew"
"форма","фозка","знак","знрт","form","sign"
"популярний","пожалярний","знаменитий","знаменитки","popular","famous"
"зараз","тераз","знання","евання","now","know"
"досвід","долиід","знання","евання","experience","knowledge"
"пошук","поцик","знаходження","знесодження","search","find"
"смерть","смерск","зникнення","знтонення","death","disappearance"
"внутрішній","внутрішним","зовнішній","зовновній","internal","external"
"площа","плжча","зона","орна","area","zone"
"капсула","капсжка","зонд","минд","capsule","probe"
"шпигун","шпигод","зрадник","кіадник","spy","traitor"
"нарешті","нарербі","зрештою","кіештою","finally","eventually"
"усвідомлювати","усвідратувати","зрозуміти","зрочувати","realize","understand"
"цвях","млях","зубний","удбний","nail","tooth"
"конференція","коицеренція","зустріч","зусталь","conference","meeting"
"дивитися","почевитися","зустрічатися","зуволікатися","see","meet"
"лялька","тилька","іграшка","ігращиа","doll","toy"
"дурень","дукань","ідіот","ідміт","fool","idiot"
"продукти","продхати","їжа","зга","food","meal"
"водити","воріти","їздити","cвдити","drive","ride"
"імперський","гиперський","імператор","імпепотор","imperial","emperor"
"династія","династоз","імперія","імпетия","dynasty","empire"
"доза","донк","ін'єкція","іннекція","dose","injection"
"банкір","банкта","інвестор","вівестор","banker","investor"
"фінансування","винансування","інвестувати","інвестадати","finance","invest"
"людина","люлена","індивідуальний","індивіслальний","person","individual"
"курятина","куйттина","індичка","іншочка","chicken","turkey"
"обстеження","обстклення","інспекція","іналекція","examination","inspection"
"знаряддя","інозрумент","інструмент","інструмеси","tool","instrument"
"особистий","осюристий","інтимний","іннюмний","personal","intimate"
"інстинкт","омстинкт","інтуїція","інтуарія","instinct","intuition"
"вірус","віінс","інфекція","тофекція","virus","infection"
"джерело","джергао","інформатор","інфомнатор","source","informant"
"дані","инні","інформація","інформерія","data","information"
"аналогічний","аналогроний","інший","іналй","similar","different"
"іронія","іронст","іронічний","пионічний","irony","ironic"
"годувати","горівати","їсти","южти","feed","eat"
"вірогідність","віроткдність","ймовірно","въовірно","probability","likely"
"вводити","экодити","йти","лoи","enter","go"
"чашка","чаруа","кава","капе","cup","coffee"
"рок","чик","камінь","каміша","rock","stone"
"шолом","тїлом","капелюх","кажалюх","helmet","hat"
"анархія","анардся","капіталізм","кареталізм","anarchy","capitalism"
"командувач","командувпя","капітан","кажитан","commander","captain"
"церква","цезгва","каплиця","капляйя","church","chapel"
"єпископ","єписрет","кардинал","кайтинал","bishop","cardinal"
"компас","компуш","карта","каска","compass","map"
"мафія","малкя","картель","картирь","mafia","cartel"
"мучити","муляти","катування","естування","torment","torture"
"таблиця","таваиця","кафедра","кафееба","table","chair"
"гусак","гущек","качка","кадеа","goose","duck"
"половина","полофіна","квартал","удартал","half","quarter"
"будинок","людинок","квартира","квектира","house","apartment"
"рослина","рожчина","квітка","квзіка","plant","flower"
"пікнік","піадік","кемпінг","кеббінг","picnic","camping"
"підлога","підзоро","килимок","айлимок","floor","carpet"
"повітря","повікея","кисень","китинь","air","oxygen"
"осел","ерел","кінь","ишнь","donkey","horse"
"собака","собазо","кішка","зршка","dog","cat"
"типовий","поповий","класичний","клуличний","typical","classic"
"хворий","хворех","клієнт","смієнт","patient","client"
"лікарня","лікааля","клініка","кламіка","hospital","clinic"
"присягати","присукати","клятва","клеива","swear","oath"
"біблія","біaція","книга","кнїда","bible","book"
"принцеса","принцеду","князь","стязь","princess","prince"
"родео","рормо","ковбойський","копіойський","rodeo","cowboy"
"падіння","ердіння","ковток","коклок","drop","sip"
"ніколи","ніконн","коли-небудь","колинебїль","never","ever"
"плече","пломе","коліна","коивна","shoulder","knee"
"ліга","лізл","команда","комаьна","league","team"
"павук","паерк","комаха","комайб","spider","insect"
"драма","дріка","комедія","кородія","drama","comedy"
"інспектор","інсмертна","комісар","коміґер","inspector","commissioner"
"комісія","коллсія","комітет","косутет","commission","committee"
"програмне забезпечення","ексграмне забезпечення","комп'ютер","компнітер","software","computer"
"расист","раинст","комуніст","комуніве","racist","communist"
"закон","зачен","конституція","конставився","law","constitution"
"консультація","консультурія","консультувати","консулихувати","advice","advise"
"приватний","привсаний","конфіденційність","ковхіденційність","private","privacy"
"зосереджувати","зосерештувати","концентрат","коясентрат","focus","concentrate"
"турист","туриро","концерт","коимерт","tour","concert"
"ром","ніхм","коньяк","ковдяк","rum","cognac"
"оригінальний","оригадальний","копіювати","котиювати","original","copy"
"королівський","коровавський","королівство","коровавство","royal","kingdom"
"королева","королере","короля","корожк","queen","king"
"компанія","компанди","корпорація","кофлорація","company","corporation"
"господиня","господчая","коханець","кояянець","mistress","lover"
"алмаз","албуз","коштовність","коштовоксть","diamond","jewel"
"пов'язувати","пойтязувати","краватка","кравтяка","bind","tie"
"чарівність","злрівність","краса","кріда","charm","beauty"
"борг","мерг","кредит","кредім","credit","loan"
"ситуація","інтуація","криза","крдра","situation","crisis"
"злодій","чаодій","кримінальний","крстінальний","thief","criminal"
"окуляри","окулкви","кришка","кражка","glasses","cap"
"лисиця","бесиця","кролик","кролів","fox","rabbit"
"відносний","відсічний","кузен","куанн","relative","cousin"
"калібр","калікл","куля","атля","caliber","bullet"
"сорочка","герочка","куртка","куртац","shirt","jacket"
"дракон","дрброн","лев","бoв","dragon","lion"
"міф","ефф","легенда","легеица","myth","legend"
"неможливий","неможливно","легкий","легков","impossible","easy"
"темрява","темропа","легкий","легков","darkness","light"
"лорд","лоар","леді","лесл","lord","lady"
"сержант","сержитт","лейтенант","легоенант","sergeant","lieutenant"
"семінар","семімир","лекція","лекцнї","seminar","lecture"
"смоктати","смдетати","лизати","лизапе","suck","lick"
"червень","червикь","липень","лишінь","june","july"
"кашель","касиль","лихоманка","лилеманка","cough","fever"
"консервативний","подсорвативний","ліберальний","лізоральний","conservative","liberal"
"правий","прткий","ліворуч","ліпшруч","right","left"
"член","мйен","лідер","ліндр","member","leader"
"диван","суван","ліжка","лісна","sofa","bed"
"алкоголь","алкобиль","ліки","дски","alcohol","drug"
"терапія","тераббя","лікування","літавання","therapy","treatment"
"таксі","танкі","лімузин","лірізин","taxi","limousine"
"мін","пхн","лін","усн","ming","ling"
"джунглі","джбіглі","ліс","анс","jungle","forest"
"земля","зервя","літати","лірити","land","fly"
"мистецтво","мистмство","література","літепитура","art","literature"
"тунець","тунепр","лобстер","одбстер","tuna","lobster"
"ненависть","ненавимаь","любов","люсив","hate","love"
"населення","нахалення","люди","люсь","population","people"
"людина","люлена","людський","люолький","man","human"
"гнів","аків","лють","четь","anger","rage"
"налякати","напекати","лякати","янкати","scare","frighten"
"нервовий","нелновий","м'яз","м'їс","nerve","muscle"
"свинина","свинтра","м'ясо","м'ґпо","pork","meat"
"може бути","можеасути","мабуть","майать","maybe","probably"
"крамниця","крамнинт","магазин","магасан","shop","store"
"кетчуп","кечтуп","майонез","маранез","ketchup","mayonnaise"
"мінімальний","міормальний","максимальний","малаимальний","minimum","maximum"
"мало","маст","малий","жилий","little","small"
"фарбувати","горбувати","малювати","вклювати","paint","draw"
"тато","тайт","мама","авма","daddy","mum"
"контроль","контрозі","маніпулювати","манізалювати","control","manipulate"
"реклама","наклама","маркетинг","маждетинг","advertising","marketing"
"йога","maга","масаж","матож","yoga","massage"
"вугілля","цигілля","масло","дісло","coal","oil"
"мед","илд","масло","дісло","honey","butter"
"фізика","фіечка","математика","матеманька","physics","mathematics"
"піратський","пірагоький","матрос","острос","pirate","sailor"
"турнір","туфлір","матч","марп","tournament","match"
"робот","роріт","машина","маріна","robot","machine"
"транспортний засіб","транспортналізацію","машина","маріна","vehicle","car"
"трофей","трпией","медаль","меркль","trophy","medal"
"артефакт","артеушкт","медальйон","меткльйон","artifact","medallion"
"шериф","итриф","мера","меть","sheriff","mayor"
"живий","девий","мертвий","мертатй","alive","dead"
"залізо","заліiй","металевий","метанувий","iron","metal"
"кілометр","зрлометр","метр","меin","kilometer","meter"
"технічний","технланий","механічний","меатнічний","technical","mechanical"
"солодкий","сологіий","милий","халий","sweet","cute"
"прощення","пршлення","милосердя","милосепья","forgiveness","mercy"
"майбутнє","майбежнє","минуле","миасле","future","past"
"чистий","чистсь","мити","ояти","clean","wash"
"телескоп","телепсон","мікроскоп","мікропсон","telescope","microscope"
"камеру","камеам","мікрофон","мікриєон","camera","microphone"
"мільйон","мільовн","мільярд","мількуд","million","billion"
"посольство","посовиство","міністерство","міністердиво","embassy","ministry"
"посла","подаа","міністр","мінінор","ambassador","minister"
"плюс","плїй","мінус","міекс","plus","minus"
"завдання","владання","місія","міжня","task","mission"
"капітал","кандтал","місто","мітко","capital","city"
"регіональний","реабональний","місцевий","місцяний","regional","local"
"коробка","коропоа","мішок","мізек","box","bag"
"мовчазний","мовчийний","мовчання","моккання","silent","silence"
"шанс","шарэ","можливість","можлчність","chance","possibility"
"сухий","суьфй","мокрий","мокзал","dry","wet"
"старий","старос","молодий","молофбй","old","young"
"старший","старосй","молодший","молоящий","senior","junior"
"палиця","палиін","молоток","моловнк","stick","hammer"
"сиріт","сишьт","монастир","монастзо","orphanage","convent"
"храм","хрру","монастир","монастзо","temple","monastery"
"екран","еклин","монітор","моніжкр","screen","monitor"
"оргазм","оргавр","монтаж","монтлa","orgasm","erection"
"аспірин","аскирин","морфін","модіін","aspirin","morphine"
"готель","митель","мотель","мойкль","hotel","motel"
"страшний","страціий","моторошний","моторобаий","scary","creepy"
"ланцюг","ланциx","мотузка","мотуиса","chain","rope"
"кошмар","кошмрд","мрія","мрди","nightmare","dream"
"бібліотека","бібліоадка","музей","мунбй","library","museum"
"джаз","джхо","музика","муечка","jazz","music"
"співак","предак","музикант","ризикант","singer","musician"
"бджола","бдібла","мурашка","мурайоа","bee","ant"
"еволюція","дюолюція","мутація","октація","evolution","mutation"
"круглий","кржолий","навколо","наніоло","round","around"
"випадково","викидково","навмисно","навмиску","accidentally","intentionally"
"інший","іналй","навпаки","наpеаки","opposite","contrary"
"навчатися","наводится","навчати","нарости","learn","teach"
"бонус","бойфс","нагорода","налирода","bonus","reward"
"дозволяти","домовлять","надавати","назовати","enable","provide"
"терміновий","термуловий","надзвичайний","дисзвичайний","urgent","emergency"
"приносити","прининити","надсилати","наирилати","bring","send"
"вічний","ричний","назавжди","назаскди","eternal","forever"
"кільце","иальце","намисто","намилио","ring","necklace"
"призначення","пристачання","намір","настр","purpose","intention"
